sample_id,source_id,active_layer,declared_source_area_m2,source_power_W,surface_power_density_W_m2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,active_layer_power_W,package_total_power_W,total_source_area_mm2
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l06,src_03,silicon_die_lower,2.000000000000002e-06,0.225,112499.99999999988,2.1972656249999942e-10,1024000000.0000027,240,8,10,3,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l06,src_04,silicon_die_upper,2.0000000000000008e-06,0.225,112499.99999999996,2.685546875e-10,837818181.8181818,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l06,src_05,silicon_die_upper,2.000000000000001e-06,0.225,112499.99999999994,2.6855468750000007e-10,837818181.8181816,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l06,src_06,silicon_die_upper,2e-06,0.225,112500.00000000001,2.685546875e-10,837818181.8181818,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l06,src_07,silicon_die_upper,2.000000000000003e-06,0.225,112499.99999999984,2.6855468749999986e-10,837818181.8181822,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l07,src_00,silicon_die_lower,1.999999999999999e-06,0.225,112500.00000000006,2.1972656249999955e-10,1024000000.0000021,240,8,10,3,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l07,src_01,silicon_die_lower,1.9999999999999982e-06,0.225,112500.0000000001,2.197265624999995e-10,1024000000.0000024,240,8,10,3,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l07,src_02,silicon_die_lower,1.9999999999999982e-06,0.225,112500.0000000001,2.1972656249999942e-10,1024000000.0000027,240,8,10,3,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l07,src_03,silicon_die_lower,2.000000000000001e-06,0.225,112499.99999999994,2.197265624999994e-10,1024000000.0000029,240,8,10,3,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l07,src_04,silicon_die_upper,1.999999999999998e-06,0.225,112500.00000000013,2.9541015625e-10,761652892.5619835,352,8,11,4,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l07,src_05,silicon_die_upper,1.9999999999999982e-06,0.225,112500.0000000001,2.9541015625000007e-10,761652892.5619833,352,8,11,4,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l07,src_06,silicon_die_upper,1.9999999999999965e-06,0.225,112500.0000000002,2.9541015625000007e-10,761652892.5619833,352,8,11,4,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l07,src_07,silicon_die_upper,1.9999999999999995e-06,0.225,112500.00000000003,2.9541015624999986e-10,761652892.5619838,352,8,11,4,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l00,src_00,silicon_die_lower,3.999999999999998e-06,0.225,56250.00000000003,4.94384765624999e-10,455111111.11111206,540,9,20,3,8,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l00,src_01,silicon_die_lower,4e-06,0.225,56250.00000000001,4.394531249999991e-10,512000000.0000011,480,8,20,3,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l00,src_02,silicon_die_lower,4e-06,0.225,56250.00000000001,4.94384765624999e-10,455111111.11111206,540,9,20,3,8,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l00,src_03,silicon_die_lower,4.000000000000002e-06,0.225,56249.99999999997,4.943847656249988e-10,455111111.11111224,540,9,20,3,8,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l00,src_04,silicon_die_upper,4e-06,0.225,56250.00000000001,6.042480468750002e-10,372363636.36363626,720,9,20,4,8,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l00,src_05,silicon_die_upper,4.0000000000000015e-06,0.225,56249.99999999998,5.371093750000002e-10,418909090.90909076,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l00,src_06,silicon_die_upper,4.0000000000000015e-06,0.225,56249.99999999998,6.042480468750002e-10,372363636.36363626,720,9,20,4,8,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l00,src_07,silicon_die_upper,4.000000000000004e-06,0.225,56249.99999999994,6.042480468749999e-10,372363636.36363643,720,9,20,4,8,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l01,src_00,silicon_die_lower,3.999999999999998e-06,0.225,56250.00000000003,4.6142578124999894e-10,487619047.6190488,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l01,src_01,silicon_die_lower,3.999999999999998e-06,0.225,56250.00000000003,4.614257812499991e-10,487619047.6190486,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l01,src_02,silicon_die_lower,3.999999999999997e-06,0.225,56250.00000000004,4.6142578124999894e-10,487619047.6190488,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l01,src_03,silicon_die_lower,4.000000000000002e-06,0.225,56249.99999999997,4.614257812499987e-10,487619047.619049,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l01,src_04,silicon_die_upper,4.000000000000002e-06,0.225,56249.99999999997,5.37109375e-10,418909090.9090909,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l01,src_05,silicon_die_upper,4.0000000000000015e-06,0.225,56249.99999999998,5.371093750000001e-10,418909090.9090908,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l01,src_06,silicon_die_upper,4.000000000000002e-06,0.225,56249.99999999997,5.371093750000002e-10,418909090.90909076,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l01,src_07,silicon_die_upper,4.000000000000006e-06,0.225,56249.99999999992,5.371093749999998e-10,418909090.90909106,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l02,src_00,silicon_die_lower,4e-06,0.225,56250.00000000001,4.6142578124999905e-10,487619047.61904866,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l02,src_01,silicon_die_lower,4e-06,0.225,56250.00000000001,4.6142578124999894e-10,487619047.6190488,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l02,src_02,silicon_die_lower,3.999999999999999e-06,0.225,56250.000000000015,4.61425781249999e-10,487619047.6190487,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l02,src_03,silicon_die_lower,4.000000000000004e-06,0.225,56249.99999999994,4.614257812499988e-10,487619047.6190489,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l02,src_04,silicon_die_upper,4.000000000000001e-06,0.225,56249.99999999999,5.371093750000002e-10,418909090.90909076,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l02,src_05,silicon_die_upper,4.000000000000001e-06,0.225,56249.99999999999,5.371093750000001e-10,418909090.9090908,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l02,src_06,silicon_die_upper,3.999999999999997e-06,0.225,56250.00000000004,5.37109375e-10,418909090.9090909,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l02,src_07,silicon_die_upper,4.000000000000003e-06,0.225,56249.999999999956,5.371093749999998e-10,418909090.90909106,640,8,20,4,7,19,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l03,src_00,silicon_die_lower,3.999999999999999e-06,0.225,56250.000000000015,4.6142578124999905e-10,487619047.61904866,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l03,src_01,silicon_die_lower,3.999999999999999e-06,0.225,56250.000000000015,4.6142578124999894e-10,487619047.6190488,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l03,src_02,silicon_die_lower,4.000000000000001e-06,0.225,56249.99999999999,4.614257812499991e-10,487619047.6190486,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l03,src_03,silicon_die_lower,4.000000000000003e-06,0.225,56249.999999999956,4.614257812499988e-10,487619047.6190489,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l03,src_04,silicon_die_upper,3.999999999999998e-06,0.225,56250.00000000003,5.639648437500002e-10,398961038.9610388,672,8,21,4,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l03,src_05,silicon_die_upper,3.999999999999999e-06,0.225,56250.000000000015,5.639648437500004e-10,398961038.9610387,672,8,21,4,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l03,src_06,silicon_die_upper,3.999999999999994e-06,0.225,56250.00000000009,5.639648437500001e-10,398961038.9610389,672,8,21,4,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l03,src_07,silicon_die_upper,4.000000000000002e-06,0.225,56249.99999999997,5.6396484375e-10,398961038.961039,672,8,21,4,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l04,src_00,silicon_die_lower,4.000000000000001e-06,0.225,56249.99999999999,4.6142578124999905e-10,487619047.61904866,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l04,src_01,silicon_die_lower,3.999999999999997e-06,0.225,56250.00000000004,4.614257812499991e-10,487619047.6190486,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l04,src_02,silicon_die_lower,3.999999999999997e-06,0.225,56250.00000000004,4.61425781249999e-10,487619047.6190487,504,8,21,3,7,20,0.9,1.8,32.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a32_l04,src_03,silicon_die_lower,4.000000000000003e-06,0.225,56249.999999999956,4.614257812499988e-10,487619047.6190489,504,8,21,3,7,20,0.9,1.8,32.0
