resolution,nonmatched_dof,solver_nodes,checkpoint_cpu_forward_seconds,checkpoint_gpu_forward_seconds,cpu_production_end_to_end_seconds,gpu_production_end_to_end_seconds,cpu_samples_per_second,gpu_samples_per_second,solver_cold_total_seconds,solver_warm_total_seconds,solver_cold_to_cpu_speedup,solver_cold_to_gpu_speedup,solver_warm_to_cpu_speedup,solver_warm_to_gpu_speedup
1024,True,240825,9.726203666999936,16.736864134989446,20.22787075000815,29.214899921993492,6.327902802125054,4.3813259789276,343.86805400182493,186.52841957850615,16.999715800620606,11.770297174386519,9.221357100990522,6.384701644590754
2048,True,240825,17.69070041703526,29.078256685985252,30.702325542049948,48.26853866002057,4.169065298480111,2.6518308520083433,343.86805400182493,186.52841957850615,11.200065399960103,7.124061832985237,6.0753840722272505,3.8643892016768726
4096,True,240825,27.055529875913635,32.006647653033724,37.74921904201619,53.89364371099509,3.3907986244041646,2.375048172404163,343.86805400182493,186.52841957850615,9.109275972546289,6.380493696915705,4.9412524103053235,3.4610467345419367
8192,True,240825,38.97636254306417,30.642388817999745,50.480004417011514,51.075700497982325,2.535657464341755,2.5060840820980315,343.86805400182493,186.52841957850615,6.811965608425008,6.732517628718748,3.695095151688358,3.6519992434734143
16384,True,240825,66.7806496269186,31.785066133044893,86.79366054199636,53.42734890800784,1.4747620874691114,2.3957767438618873,343.86805400182493,186.52841957850615,3.961902883856816,6.436180365114186,2.1491018861711875,3.4912535132460736
32768,True,240825,121.2044825409539,32.895351718965685,149.10569649998797,55.974628627009224,0.8584514408543091,2.2867503213453504,343.86805400182493,186.52841957850615,2.306203331419016,6.143284242102137,1.2509811761519198,3.3323744016499166
