sample_id,family_id,selection_bin,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,total_source_area_mm2,layout_seed,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,solver_cv_mean_minus_projected_unweighted_mean_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points
p1d64_f00_near_adiabatic_low_a16_l0,f00_near_adiabatic,low,500.0,1.0,2.0,16.0,0,41.506913452389085,40.2454165139883,20.753456726194543,1.9959827370403582,0.004017263438469703,0.9979913685201791,0.0020086317192348517,-2.3941396348065025e-10,6.944071782302619e-11,341.0459144074794,339.9184474927871,340.1714325268688,20.564263230223258,10217.381816293093,0.5648680691317638,217.680989560333,19.999395161091492,9999.70082673276,20.522957203739708,20.522957198826226,-2.394138977489408e-10,True,0.02711224376548671,-0.1718463031631785,240,7,True,True
p1d64_f00_near_adiabatic_low_a32_l1,f00_near_adiabatic,low,500.0,1.0,2.0,32.0,1,41.02833678854711,40.245416513985646,20.514168394273554,1.9959827370403205,0.004017263438469119,0.9979913685201602,0.0020086317192345594,-2.393947973883259e-10,6.97125226193879e-11,340.7270937656933,339.91857388700936,340.171589232568,20.404532068290433,10138.019173871611,0.4050735828922323,138.27933906595,19.999458485398197,9999.739834805661,20.363546882846663,20.36354687797174,-2.3939462039554716e-10,True,0.0013272353007778293,-0.1044050629003408,504,7,True,True
p1d64_f00_near_adiabatic_low_a48_l2,f00_near_adiabatic,low,500.0,1.0,2.0,48.0,2,40.93843307054664,40.24541651398761,20.46921653527332,1.9959827370402614,0.00401726343846988,0.9979913685201307,0.00200863171923494,-2.3936564622767387e-10,6.970970159189202e-11,340.6015078137333,339.9189240529496,340.17183834035546,20.341612710508283,10106.757606416233,0.3419787897543984,106.95576228913761,19.999633920753883,9999.801844127094,20.300753906866646,20.300753902007344,-2.3936560761108875e-10,True,0.020447715015791346,-0.0828888302669668,744,7,True,True
p1d64_f00_near_adiabatic_low_a64_l3,f00_near_adiabatic,low,500.0,1.0,2.0,64.0,3,40.8066384814266,40.245416513989554,20.4033192407133,1.9959827370403518,0.004017263438470067,0.9979913685201759,0.0020086317192350334,-2.3941092554616294e-10,6.863297977801958e-11,340.5194790600724,339.91912084826623,340.1720826032678,20.300515785098817,10086.338543808275,0.30078326864508853,86.4758963721027,19.999732516453726,9999.862647436174,20.2597395300362,20.259739525185797,-2.394109133991545e-10,True,0.015855862191074266,-0.05178579208342171,984,7,True,True
p1d64_f00_near_adiabatic_high_a16_l0,f00_near_adiabatic,high,500.0,1.0,3.5,16.0,0,72.63709853543003,70.42947889323462,20.75345672440858,3.492969789507696,0.007030211016701289,0.9979913684307703,0.0020086317190575113,-1.4982782524573602e-10,6.980317841544577e-11,371.8303502068259,369.85728310611904,370.3000069158134,20.56426323027254,10217.381816304302,0.5648680691810312,217.6809895715734,19.99939516109151,9999.700826732727,20.522957201950266,20.522957198875357,-1.4982778484995416e-10,True,0.012019241495465849,-0.31317238514351686,240,7,True,True
p1d64_f00_near_adiabatic_high_a32_l1,f00_near_adiabatic,high,500.0,1.0,3.5,32.0,1,71.79958937370873,70.4294788932305,20.51416839248821,3.492969789507523,0.007030211016700674,0.9979913684307208,0.0020086317190573352,-1.497781650689716e-10,6.98546396344616e-11,371.2724140836987,369.85750429600574,370.30028115079085,20.404532068325587,10138.019173875005,0.40507358292739964,138.27933906941206,19.999458485398186,9999.739834805592,20.363546881056777,20.363546878006762,-1.4977819773767154e-10,True,0.023065147078682458,-0.16085318521551528,504,7,True,True
p1d64_f00_near_adiabatic_high_a48_l2,f00_near_adiabatic,high,500.0,1.0,3.5,48.0,2,71.64225786717986,70.42947889323173,20.469216533479962,3.492969789507545,0.00703021101670101,0.9979913684307272,0.0020086317190574315,-1.4978460535378498e-10,6.957197170844003e-11,371.05263866777085,369.8581170864038,370.3007170894091,20.341612710537692,10106.75760641861,0.34197878978376467,106.95576229155716,19.99963392075393,9999.801844127054,20.300753905077386,20.300753902036643,-1.497847214397827e-10,True,0.037749227045992484,-0.12052259756300998,744,7,True,True
p1d64_f00_near_adiabatic_high_a64_l3,f00_near_adiabatic,high,500.0,1.0,3.5,64.0,3,71.41161733622437,70.42947889323538,20.40331923892125,3.4929697895077023,0.007030211016701484,0.9979913684307721,0.002008631719057567,-1.4982965711372665e-10,6.938363155429168e-11,370.90908834886534,369.85846147820786,370.30114454950785,20.30051578512485,10086.338543808788,0.3007832686710859,86.47589637255693,19.999732516453765,9999.86264743623,20.25973952824724,20.25973952521173,-1.498296469808237e-10,True,0.006247396737194322,-0.0888651016448847,984,7,True,True
p1d64_f01_low_low_low_a16_l0,f01_low_low,low,500.0,20.0,2.0,16.0,0,40.19410111629128,37.68991969367252,20.09705055814564,1.9314842316878287,0.0685157687891049,0.9657421158439143,0.03425788439455245,-2.384667879828939e-10,6.913723250524039e-11,339.7384910291287,338.62847740010704,334.25674939138065,20.574069607807864,579.9904420753976,0.5746946368035585,80.00700765134981,19.999374971004308,499.98343442404786,19.86924551456434,19.869245509826186,-2.384667678478335e-10,True,0.024919761050284706,-0.5149237250372352,240,7,True,True
p1d64_f01_low_low_low_a32_l1,f01_low_low,low,500.0,20.0,2.0,32.0,1,39.715321997843034,37.689919693673374,19.857660998921517,1.9314842316878464,0.06851576878910996,0.9657421158439232,0.03425788439455498,-2.384782024633658e-10,6.92722812924848e-11,339.41967068647523,338.6286037925323,334.25689750993126,20.409004660642744,575.3372016857625,0.4095642516592693,75.3516054447972,19.999440408983475,499.98559624096526,19.709835343237614,19.709835338537246,-2.384783034911645e-10,True,0.008379099666626644,-0.3791144056041986,504,7,True,True
