sample_id,path,topology,package_total_power_W,interface_index,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,6,silicon_die_upper,tim_to_spreader,0.0,-0.06075800684021715
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,7,tim_to_spreader,spreader,0.0,-0.013225492663991645
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,0,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,7.0048772523546745
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,1,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,1.1323688343957201
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,2,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.056009022194643876
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,3,bump_underfill_under_interposer,silicon_die_lower,0.0,0.01996011016490229
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,4,silicon_die_lower,tim_between_dies,0.0,-0.0870915054085799
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,5,tim_between_dies,silicon_die_upper,0.0,-0.02217786437813629
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,6,silicon_die_upper,tim_to_spreader,0.0,-0.24303201964880827
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,7,tim_to_spreader,spreader,0.0,-0.0529019862582345
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,0,silicon_die_lower,tim_between_dies,0.0,-0.0779615398529927
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,1,tim_between_dies,silicon_die_upper,0.0,-0.01885804711662331
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,2,silicon_die_upper,tim_to_spreader,0.0,-0.07836839887875158
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,3,tim_to_spreader,spreader,0.0,-0.017058453395975448
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,0,silicon_die_lower,tim_between_dies,0.0,-0.3118461594089581
