resolution,role,role_classification,sample_count,support_point_global_pct,support_sample_first_pct,support_raw_cv_rmse_K,support_field_bias_K,support_peak_rmse_K,support_source_rmse_K,full_point_global_pct,full_sample_first_pct,full_raw_cv_rmse_K,full_peak_rmse_K,full_source_rmse_K,full_layer_rmse_K_mean,full_interface_rmse_K_mean,full_top_rmse_K,full_bottom_rmse_K,checkpoint_sha256,used_for_selection_or_tuning
4096,valid_iid,selection_split_frozen_existing,128,1.335878682686007,1.290370078788942,0.5706654015226466,0.023299706069986395,1.5620920947748862,0.8498861659540874,3.5240522709752384,3.352340589607011,1.4290338741358015,1.560774140984648,0.8608690611066075,0.7912202633883433,0.6190650478832709,0.32344294276603586,0.4752181952713142,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
4096,corrected_confirmatory_holdout,confirmatory_not_for_selection,128,1.466874485703332,1.4326703464985795,0.6266983884208789,0.03109924394681484,1.0423507780569092,1.0322178732093155,3.5874150681606465,3.4300085879267224,1.4549693124238605,1.037314663323732,1.0239659162827297,0.8495940823299155,0.6764511432565347,0.3287985437872254,0.48296518437942565,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
4096,hard_input_stress,preregistered_iid_stress_subgroup_within_already_opened_corrected_confirmatory_holdout,16,1.2528084077378605,1.1810808466247587,0.7452875499068652,0.027952090540608696,1.2439744886643622,1.2216358115376347,1.6978350286245645,1.667893292886982,0.9865952083843735,1.2414911879380228,1.2210751117360272,0.8197855485760281,0.804085877981745,0.390881109340997,0.6414517937109911,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
8192,valid_iid,selection_split_frozen_existing,128,1.4188582912335177,1.3947096296714243,0.6060430980535759,0.029858310183202702,1.8685671731923759,0.9868160247331472,3.021433195778699,2.9163080840924387,1.2252174636476862,1.855889721218594,0.937515853273691,0.747144720683445,0.6227780550682633,0.3015090129568683,0.5792818901476205,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
8192,corrected_confirmatory_holdout,confirmatory_not_for_selection,128,1.5437371063501921,1.525788416102589,0.6594475155572631,0.03886625035675554,1.2204515120553443,1.0637485038436794,3.0975577517259874,3.0001441828682602,1.2562949607425073,1.2081650053791564,1.0157655736264908,0.8014477732057981,0.687243848051919,0.3217638958800024,0.5880987301132469,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
8192,hard_input_stress,preregistered_iid_stress_subgroup_within_already_opened_corrected_confirmatory_holdout,16,1.2965598095731883,1.2337366832326537,0.7712724844237657,0.03174576543711984,1.322994434282688,1.1999094826147867,1.6210670486197243,1.5882808656450935,0.9419860915071704,1.3119549278089555,1.1578292544734006,0.8017221303108555,0.8002605110356096,0.38232701212315473,0.7609502956481375,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
16384,valid_iid,selection_split_frozen_existing,128,1.6442561852578659,1.6227097341382883,0.7021255131461649,0.04493215920903945,1.797919872353423,1.2159675525869769,2.797999163928198,2.777682404502457,1.1346130186515446,1.7962363703594484,1.174775278772403,0.7854847519905692,0.7098738549729986,0.33378403707701715,0.6941008449249164,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
16384,corrected_confirmatory_holdout,confirmatory_not_for_selection,128,1.7704441674178866,1.770272878882503,0.7561574610474187,0.047284266692401905,1.2135034230029793,1.2555960477412287,2.865153459990657,2.850672806279017,1.1620373668689663,1.2075332677203825,1.2154994178615255,0.8335851374342852,0.76933124853836,0.3687130955640761,0.6997627349934288,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
16384,hard_input_stress,preregistered_iid_stress_subgroup_within_already_opened_corrected_confirmatory_holdout,16,1.4804942061840183,1.4232972985698251,0.880604120577483,0.037043873992759414,1.3240866272205194,1.3884600401146074,1.7852860743107954,1.7420746988722036,1.0374121494814919,1.31725756352722,1.3469171833802085,0.8857713966182261,0.8984125426901589,0.42944144392008304,0.9068323555931388,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,False
