sample_id,source_id,topology,power_provenance,active_layer,declared_source_area_m2,source_area_fraction,source_power_W,surface_power_density_W_m2,geometric_source_volume_m3,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,physical_layer_z_interval_count,active_layer_power_W,package_total_power_W
p1b_df_p1,src_00,dual_layer_few_source,explicit_user_instruction_area_weighted,silicon_die_lower,3.1999999999999999e-05,0.49999999999999989,0.49999999999999989,15624.999999999996,4.7999999999999991e-09,3.6419677734375002e-09,137288419.64136079,3978,26,51,3,25,50,4,0.49999999999999989,1
p1b_df_p1,src_01,dual_layer_few_source,explicit_user_instruction_area_weighted,silicon_die_upper,3.2000000000000005e-05,0.5,0.5,15624.999999999998,4.8e-09,4.4512939453124988e-09,112326888.79747707,5304,26,51,4,25,50,4,0.5,1
p1b_df_p2,src_00,dual_layer_few_source,explicit_user_instruction_area_weighted,silicon_die_lower,3.1999999999999999e-05,0.49999999999999989,0.99999999999999978,31249.999999999993,4.7999999999999991e-09,3.6419677734375002e-09,274576839.28272158,3978,26,51,3,25,50,4,0.99999999999999978,2
p1b_df_p2,src_01,dual_layer_few_source,explicit_user_instruction_area_weighted,silicon_die_upper,3.2000000000000005e-05,0.5,1,31249.999999999996,4.8e-09,4.4512939453124988e-09,224653777.59495413,5304,26,51,4,25,50,4,1,2
p1b_df_p4,src_00,dual_layer_few_source,explicit_user_instruction_area_weighted,silicon_die_lower,3.1999999999999999e-05,0.49999999999999989,1.9999999999999996,62499.999999999985,4.7999999999999991e-09,3.6419677734375002e-09,549153678.56544316,3978,26,51,3,25,50,4,1.9999999999999996,4
p1b_df_p4,src_01,dual_layer_few_source,explicit_user_instruction_area_weighted,silicon_die_upper,3.2000000000000005e-05,0.5,2,62499.999999999993,4.8e-09,4.4512939453124988e-09,449307555.18990827,5304,26,51,4,25,50,4,2,4
p1b_dm_p0p5,src_00,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999979e-06,0.12500000000000003,0.062500000000000014,7812.5000000000036,1.1999999999999996e-09,8.9263916015625019e-10,70017094.017094016,975,13,25,3,12,24,4,0.25,0.5
p1b_dm_p0p5,src_01,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999946e-06,0.12499999999999997,0.062499999999999986,7812.5000000000036,1.1999999999999992e-09,8.9263916015624998e-10,70017094.017094001,975,13,25,3,12,24,4,0.25,0.5
p1b_dm_p0p5,src_02,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999946e-06,0.12499999999999997,0.062499999999999986,7812.5000000000036,1.1999999999999992e-09,8.9263916015624998e-10,70017094.017094001,975,13,25,3,12,24,4,0.25,0.5
p1b_dm_p0p5,src_03,dual_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,7.9999999999999979e-06,0.12500000000000003,0.062500000000000014,7812.5000000000036,1.1999999999999996e-09,8.9263916015624978e-10,70017094.017094046,975,13,25,3,12,24,4,0.25,0.5
