sample_id,mesh,intervals_x,intervals_y,intervals_z,node_count,peak_deltaT_K,mean_deltaT_K,top_heat_fraction,bottom_heat_fraction,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,energy_balance_relative_error
p1d_f00_high,coarse,48,48,48,117649,71.86016820034814,70.43219834137781,0.9979911981406298,0.0020088018367768507,20.400861935187613,10135.335538356116,2.2593427376998195e-11
p1d_f00_high,base,64,64,56,240825,71.84237659010125,70.42947889323482,0.9979913684307634,0.0020086317190575473,20.401518954148628,10136.522104047097,-1.498210095171989e-10
p1d_f00_high,fine,80,80,70,465831,71.79117124263018,70.40517635666134,0.9979923705826051,0.002007629494723573,20.387475349582985,10134.611444890248,-7.732867347446223e-11
p1d_f07_high,coarse,48,48,48,117649,68.66732892760888,54.5227204938084,0.9657945635991037,0.03420543639693495,4.292800067385093,121.2077203046559,3.961400651952829e-12
p1d_f07_high,base,64,64,56,240825,68.54320042934427,54.39708873908891,0.9660271182581658,0.03397288177448629,4.29136484582152,122.02599835132905,-3.265207548786009e-11
p1d_f07_high,fine,80,80,70,465831,68.474546817582,54.24649508897776,0.9662337756841393,0.03376622433296192,4.2858137547505875,122.64024444359389,-1.710118158193552e-11
