sample_id,literature_id,power_basis,source_count,active_layer_count,active_layer_power_W,package_total_power_W,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,in_30_80_K_window,solver_peak_minus_projected_peak_K
p1a_00,L02,cited_component_power,1,1,"{""active_lower"": 0.0005}",0.00050000000000000001,0.29538384646701843,0.011470967697676308,590.76769293403686,0.012552867511701427,0.98744713190044786,5.8785073163425405e-10,2.1481553913732428e-18,False,0.0038508892172330889
p1a_01,L02,cited_component_power,1,1,"{""active_lower"": 0.001}",0.001,0.59076769293915277,0.022941935410632577,590.76769293915277,0.012552867523380359,0.98744713214187252,3.34747203914465e-10,2.1406372663024349e-18,False,0.0025183379490272273
p1a_02,L02,cited_component_power,1,1,"{""active_lower"": 0.002}",0.002,1.1815353858836488,0.045883870836690654,590.76769294182441,0.012552867529263686,0.98744713231822456,1.5251190067788745e-10,2.1812951469693656e-18,False,0.0097828840274587492
p1a_03,L02,cited_two_component_schedule,2,1,"{""active_lower"": 0.001}",0.001,0.30785375311694452,0.022941935410687019,307.85375311694452,0.012552867523407257,0.98744713219885838,2.7773443267431475e-10,2.1106054980141168e-18,False,0.0047477933185859911
p1a_04,L02,cited_component_power_repeated,4,1,"{""active_lower"": 0.004}",0.004000000000000001,0.62246396992179598,0.091767741688604534,155.61599248044897,0.012552867532165921,0.98744713239022075,7.7613263038678313e-11,2.1644578436603619e-18,False,0.009265603649851073
p1a_05,L02,cited_component_power_repeated,4,1,"{""active_lower"": 0.008}",0.0080000000000000019,1.2449279398488784,0.18353548339258899,155.61599248110977,0.012552867533641104,0.98744713242981563,3.6543251064058418e-11,2.1548896093559405e-18,False,0.028188846636055587
p1a_06,L02,cited_full_component_schedule,10,1,"{""active_lower"": 0.013000000000000001}",0.013000000000000001,1.2710660732930705,0.29824516052252487,97.774313330236183,0.012552867534200993,0.9874471324421823,2.3616792282483014e-11,2.1052273243761611e-18,False,0.072568754110875489
p1a_07,L02,cited_full_component_schedule_pilot_two_layer_allocation,10,2,"{""active_lower"": 0.004, ""active_upper"": 0.009000000000000001}",0.012999999999999999,3.491510353809133,0.85557514381637212,268.57771952377948,0.040872948738734059,0.95912705123853492,2.2731015787595784e-11,2.0624274155494059e-18,False,0.041176250830119443
p1a_08,L19,cited_validation_total,1,1,"{""active_lower"": 1.0}",1,590.76769294447809,22.941935425974194,590.76769294447809,0.012552867535091513,0.98744713246459526,3.1319391524675666e-13,2.1544987234193882e-18,False,11.5843244199325
p1a_09,L19,equal_partition_of_cited_validation_total,4,1,"{""active_lower"": 1.0}",1,155.61599248176412,22.941935425974158,155.61599248176412,0.012552867535091468,0.98744713246458726,3.212985433265203e-13,2.1330149425961355e-18,False,1.4988850965295342
p1a_10,L19,equal_layer_partition_of_cited_validation_total,2,2,"{""active_lower"": 0.5, ""active_upper"": 0.5}",1,799.27162227657755,53.904712275631518,799.27162227657755,0.033006259516142535,0.9669937404835377,3.1974423109204508e-13,2.1207180900529531e-18,False,8.7658580202612484
p1a_11,L19,cited_active_layer_power,1,1,"{""active_lower"": 10.0}",10,5907.6769294448259,229.41935425987981,590.76769294448263,0.012552867535102041,0.98744713246486193,3.6060043839825086e-14,2.2770040973528959e-18,False,23.89054168304483
p1a_12,L19,equal_source_partition_of_cited_active_layer_power,4,1,"{""active_lower"": 10.0}",10,1556.159924817689,229.41935425987984,155.6159924817689,0.012552867535102036,0.98744713246485105,4.689582056016661e-14,2.2600117423525986e-18,False,20.194225474827363
p1a_13,L19,equal_layer_partition_of_cited_active_layer_power,2,2,"{""active_lower"": 5.0, ""active_upper"": 5.0}",10,7992.7162227658719,539.04712275645306,799.27162227658721,0.033006259516153089,0.96699374048379627,5.0626169922907138e-14,2.3793998660842094e-18,False,65.036915932278134
p1a_14,L19,cited_two_active_layer_package_total,2,2,"{""active_lower"": 10.0, ""active_upper"": 10.0}",20,15985.432445531753,1078.0942455129214,799.27162227658766,0.033006259516153658,0.96699374048380859,3.7836400679225336e-14,2.8944054083549593e-18,False,196.63768931705636
p1a_15,L19,equal_source_partition_of_cited_two_active_layer_package_total,8,2,"{""active_lower"": 10.0, ""active_upper"": 10.0}",20,4746.6848399813998,1078.0942455129218,237.33424199907,0.033006259516153852,0.96699374048380415,4.2099657093785935e-14,2.716682553795368e-18,False,29.310111270259767
