sample_id,group_id,split_role,layer_name,operator_point_count,solver_node_count,layer_average_signed_error_K,layer_drop_signed_error_K
p1g_g000_t1_b0_p1,p1g_g000,train,bt_substrate_with_vias,146,33800,0.06602808821952522,0.08721069945210047
p1g_g000_t1_b0_p1,p1g_g000,train,silicon_interposer_tsv_0p1,39,16900,0.00733288706373969,0.008658656091540706
p1g_g000_t1_b0_p1,p1g_g000,train,bump_underfill_under_interposer,24,16900,0.006804995259244606,-0.011192279821329976
p1g_g000_t1_b0_p1,p1g_g000,train,silicon_die_lower,160,16900,-0.01028805261830712,0.10456603130808162
p1g_g000_t1_b0_p1,p1g_g000,train,tim_between_dies,25,16900,0.19838698133202115,0.2748911945623149
p1g_g000_t1_b0_p1,p1g_g000,train,silicon_die_upper,159,16900,0.3677801212427312,0.23238951759884685
p1g_g000_t1_b0_p1,p1g_g000,train,tim_to_spreader,18,16900,0.8270874547162634,0.6015965398791536
p1g_g000_t1_b0_p1,p1g_g000,train,spreader,193,71825,0.6689737713620616,-1.0280633874892828
p1g_g000_t1_b1_p0,p1g_g000,train,pcb_fr4_equivalent,260,33800,0.31318939598418183,-1.936758606899616
p1g_g000_t1_b1_p0,p1g_g000,train,bt_substrate_with_vias,146,33800,0.06791759822897347,0.08079771899514299
p1g_g000_t1_b1_p0,p1g_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.10402042339615036,0.054820308969510734
p1g_g000_t1_b1_p0,p1g_g000,train,bump_underfill_under_interposer,24,16900,-0.06571545062558926,0.004898062065990416
p1g_g000_t1_b1_p0,p1g_g000,train,silicon_die_lower,160,16900,-0.05432458962280862,0.09861385933646716
p1g_g000_t1_b1_p0,p1g_g000,train,tim_between_dies,25,16900,0.09490845282522287,0.1769500669550439
p1g_g000_t1_b1_p0,p1g_g000,train,silicon_die_upper,159,16900,0.21115228515117224,0.16666414917716565
p1g_g000_t1_b1_p0,p1g_g000,train,tim_to_spreader,18,16900,0.5170495523911995,0.391529160050311
