platform,mode,batch_size,resolution,sample_count,model_core_seconds,full_field_production_seconds,evaluation_seconds,model_core_seconds_per_sample,production_seconds_per_sample,evaluation_seconds_per_sample,production_samples_per_second,input_seconds,graph_load_or_build_seconds,batch_prepare_seconds,full_field_reconstruction_seconds,serialization_seconds,label_read_seconds,metrics_diagnostics_seconds,process_peak_ram_GB,device_peak_memory_GB,direct_single_cycle_measurements,cross_run_phase_addition
cpu,cold,8,4096,128,25.992459999979474,34.4503524589818,36.92419320897898,0.20306609374983964,0.2691433785857953,0.28847025944514826,3.71549173995833,1.122976833023131,2.6742760830093175,3.053847708972171,1.122112083947286,0.07348429202102125,0.9699592079850845,1.4814974999753758,2.027241472,N/A,True,False
gpu,cold,8,4096,128,31.551709557999857,47.491604909009766,49.52429831799236,0.24649773092187388,0.3710281633516388,0.3869085806093153,2.6952131907363013,1.049229063995881,6.861476484016748,6.2855476179975085,1.1289330719737336,0.0723092450061813,1.1524585010192823,0.8453900150198024,3.499003904,0.972995328,True,False
cpu,cached,8,4096,128,25.95582045800984,32.53699733299436,34.91749954101397,0.20277984732820187,0.25419529166401844,0.2727929651641716,3.933983172755795,1.120243165991269,1.100002334045712,3.042166124971118,1.0611116659711115,0.0480083329603076,0.9372521250043064,1.4204627079889178,2.26934784,N/A,True,False
gpu,cached,8,4096,128,31.66939292202005,42.6885835279827,44.489324520982336,0.24741713220328165,0.33350455881236485,0.3475728478201745,2.9984597618727498,1.0325787340116221,2.303921269980492,6.312248228001408,1.025349865987664,0.06567489300505258,0.9414756550104357,0.8243385420064442,3.320446976,0.973175808,True,False
cpu,persistent,8,4096,128,17.872604763678584,21.32138400002926,23.823300847026985,0.13962972471623894,0.16657331250022858,0.18611953786739832,6.003362633486848,1.3181633890101996,0.022307527678397793,0.8451114863467714,1.060309819644317,0.04824580568432187,0.9409890276535103,1.5473397363287706,2.484158464,N/A,True,False
gpu,persistent,8,4096,128,10.990032867334472,16.027851549336145,17.858612165660208,0.08585963177605056,0.12521759022918863,0.13952040754422038,7.986098424108602,0.9303871553371815,0.07436988398937198,2.719671205345852,1.004284560670688,0.06123408500570804,0.9400660813359233,0.8562456710011853,3.3199104,0.973129728,True,False
cpu,cold,8,8192,128,37.560996957996394,45.98414179199608,48.38011237495812,0.29344528873434683,0.3592511077499694,0.3779696279293603,2.783568313158765,1.1030174170155078,2.5559234590036795,3.2859624580014497,1.0068786249612458,0.07341620797524229,0.9777223750133999,1.3984487910056487,2.454175744,N/A,True,False
gpu,cold,8,8192,128,30.03554923500633,46.094646976009244,47.904368678020546,0.23465272839848694,0.3601144295000722,0.3742528802970355,2.776895114667432,0.962107729021227,7.003382837021491,6.551555412996095,0.9953442830010317,0.06733665298088454,0.9378067550132982,0.8365971709717996,3.526692864,1.687703552,True,False
cpu,cached,8,8192,128,37.468552125035785,43.966671250003856,46.45352387498133,0.29272306347684207,0.3434896191406551,0.36291815527329163,2.9112961332042797,1.1361422499758191,1.1021857080049813,3.225472665973939,0.7516246670274995,0.07292662496911362,0.9554602080024779,1.511274208955001,2.570289152,N/A,True,False
gpu,cached,8,8192,128,30.0725977869879,41.30914386600489,43.17769389098976,0.23494217021084296,0.3227276864531632,0.3373257335233575,3.0985875770070566,0.9568817020044662,2.3024502090120222,6.603378381987568,1.024956564011518,0.06518404500093311,0.9906596940127201,0.8422415739914868,3.348402176,1.686627328,True,False
