sample_id,package_total_power_W,interface_index,interface_z_m,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K,family_id,selection_bin
p1d_f00_low,2.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.03111515514660823,f00_near_adiabatic,low
p1d_f00_low,2.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.004953370145642566,f00_near_adiabatic,low
p1d_f00_low,2.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0003611856185443685,f00_near_adiabatic,low
p1d_f00_low,2.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00013767678854037513,f00_near_adiabatic,low
p1d_f00_low,2.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.07877046871914217,f00_near_adiabatic,low
p1d_f00_low,2.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.019609561692107036,f00_near_adiabatic,low
p1d_f00_low,2.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.15695773140555502,f00_near_adiabatic,low
p1d_f00_low,2.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.03416479145835183,f00_near_adiabatic,low
p1d_f00_high,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.054451521500539,f00_near_adiabatic,high
p1d_f00_high,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.008668397753410773,f00_near_adiabatic,high
p1d_f00_high,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0006320748329358139,f00_near_adiabatic,high
p1d_f00_high,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.0002409343800309216,f00_near_adiabatic,high
p1d_f00_high,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.1378483202594225,f00_near_adiabatic,high
p1d_f00_high,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.03431673296125837,f00_near_adiabatic,high
p1d_f00_high,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.2746760299600055,f00_near_adiabatic,high
p1d_f00_high,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.0597883850521157,f00_near_adiabatic,high
p1d_f01_low,2.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.5422730143049534,f01_low_low,low
p1d_f01_low,2.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.08759505949223012,f01_low_low,low
p1d_f01_low,2.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.0038056121803151655,f01_low_low,low
