sample_id,group_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K
p1g_g000_t0_b0_p0,p1g_g000,train,0.4417098566246183,0.011405149917606548,2.2049304926988498,0.5463290896425406,0.7470727689836281
p1g_g000_t0_b0_p1,p1g_g000,train,0.6625647849299968,0.011405149917883488,3.3073957389522093,0.8194936344647772,1.1206091534410803
p1g_g000_t0_b1_p0,p1g_g000,train,1.059970207251702,0.03130037362532064,8.043297124278524,0.4997864770619458,2.638427863413483
p1g_g000_t0_b1_p1,p1g_g000,train,1.589955310828513,0.03130037362543222,12.064945686000044,0.7496797155963009,3.9576417949853635
p1g_g000_t1_b0_p0,p1g_g000,train,0.39595538153852883,0.014134509247303402,2.0579553802368196,0.5513916364769216,0.685375591658044
p1g_g000_t1_b0_p1,p1g_g000,train,0.5939330723043216,0.014134509247720767,3.0869330703643527,0.8270874547162634,1.0280633874892828
p1g_g000_t1_b1_p0,p1g_g000,train,0.811055254596978,0.03271518115923367,5.8729458199166515,0.5170495523911995,1.936758606899616
p1g_g000_t1_b1_p1,p1g_g000,train,1.216582881860104,0.032715181159422534,8.809418729562594,0.7755743285896415,2.905137910249209
p1g_g001_t0_b0_p0,p1g_g001,train,0.5217808047572912,0.013467240724749616,3.9335813533368764,0.42858587044867136,0.8983608911111673
p1g_g001_t0_b0_p1,p1g_g001,train,0.7826712071264048,0.01346724072504796,5.9003720300177065,0.6428788056748544,1.347541336619372
p1g_g001_t0_b1_p0,p1g_g001,train,1.1620941937821239,0.034301999654073115,6.813453881477756,0.3676954679490336,3.1760694005795926
p1g_g001_t0_b1_p1,p1g_g001,train,1.7431412906217827,0.03430199965424175,10.220180821862868,0.5515432019285527,4.7641041007067315
p1g_g001_t1_b0_p0,p1g_g001,train,0.47622211458602404,0.016989135530126858,3.9391358143845423,0.435203376633126,0.6507373576301916
p1g_g001_t1_b0_p1,p1g_g001,train,0.7143331718711037,0.016989135530516293,5.9087037215915075,0.6528050649512807,0.9761060364047012
p1g_g001_t1_b1_p0,p1g_g001,train,0.9011014583651703,0.03632343358950759,4.9933245226489475,0.3902775966120089,2.332357438915949
p1g_g001_t1_b1_p1,p1g_g001,train,1.3516521875105745,0.0363234335897626,7.489986783715665,0.5854163949227882,3.4985361582538417
p1g_g002_t0_b0_p0,p1g_g002,train,0.47588114351573985,0.012295498793902583,2.955675082596599,0.48751729343700845,0.8840364430242857
p1g_g002_t0_b0_p1,p1g_g002,train,0.7138217152624406,0.012295498794132685,4.4335126238964335,0.7312759401569906,1.326054664492176
p1g_g002_t0_b1_p0,p1g_g002,train,1.1774308223005874,0.03478843542621162,7.285545911155282,0.44426962770631917,3.0836266024293195
p1g_g002_t0_b1_p1,p1g_g002,train,1.7661462333957865,0.03478843542632525,10.928318866343034,0.6664044415630883,4.625439903487688
p1g_g002_t1_b0_p0,p1g_g002,train,0.4224741074984179,0.015094459839482736,2.9624822404825863,0.49222921121776153,0.6441917046482217
p1g_g002_t1_b0_p1,p1g_g002,train,0.6337111612404487,0.015094459839835319,4.443723360722288,0.7383438168280918,0.9662875569391076
p1g_g002_t1_b1_p0,p1g_g002,train,0.8964903903185972,0.03618881776798168,5.3107797863653445,0.46033935134022386,2.266365627597338
p1g_g002_t1_b1_p1,p1g_g002,train,1.3447355854387129,0.0361888177681923,7.966169679245695,0.6905090270133201,3.39954844128016
p1g_g003_t0_b0_p0,p1g_g003,train,0.4848052068435817,0.01252443060431915,3.07359311605137,0.47952800674926266,0.697733117772998
p1g_g003_t0_b0_p1,p1g_g003,train,0.7272078102564643,0.01252443060459579,4.610389674089163,0.7192920101260825,1.0465996766238277
p1g_g003_t0_b1_p0,p1g_g003,train,1.0938306938120708,0.03231277423744106,7.686678528498305,0.4273482697963118,2.462671602834746
p1g_g003_t0_b1_p1,p1g_g003,train,1.6407460406703642,0.03231277423761827,11.53001779237104,0.641022404699072,3.6940074041254434
p1g_g003_t1_b0_p0,p1g_g003,train,0.44097535890565687,0.015751070535420797,3.0811376298848927,0.4852252313768304,0.5996236996267612
p1g_g003_t1_b0_p1,p1g_g003,train,0.6614630383531871,0.015751070535841866,4.621706444844506,0.7278378470672919,0.8994355494432398
p1g_g003_t1_b1_p0,p1g_g003,train,0.8465145897314584,0.034159619921274496,5.629355980705782,0.4468065038423106,1.8078669244300158
p1g_g003_t1_b1_p1,p1g_g003,train,1.269771884563769,0.03415961992157741,8.44403397078554,0.6702097557673596,2.711800386550806
p1g_g004_t0_b0_p0,p1g_g004,train,0.44116919942551,0.011378456574823222,2.3533415101028368,0.42727344678615964,0.7322460769359509
p1g_g004_t0_b0_p1,p1g_g004,train,0.661753799130789,0.01137845657508836,3.5300122651609627,0.6409101701808595,1.0983691153692803
p1g_g004_t0_b1_p0,p1g_g004,train,1.034773653690405,0.030524888369865298,5.875508771619764,0.3787037425453832,2.5996690319826143
p1g_g004_t0_b1_p1,p1g_g004,train,1.552160480487924,0.030524888369974218,8.813263157128688,0.5680556138191832,3.899503547840709
p1g_g004_t1_b0_p0,p1g_g004,train,0.3978193426749471,0.014178041920588094,2.362117765793357,0.43281987126346166,0.5306380482131772
p1g_g004_t1_b0_p1,p1g_g004,train,0.5967290140076829,0.014178041920972282,3.5431766486975675,0.6492298068967557,0.7959570723226648
p1g_g004_t1_b1_p0,p1g_g004,train,0.7954309302629964,0.03203635231678051,4.306531485873677,0.3951818201036872,1.9073959645751302
p1g_g004_t1_b1_p1,p1g_g004,train,1.1931463953606565,0.03203635231698652,6.459797228582204,0.5927727301589698,2.86109394676339
