resolution,config_id,checkpoint_kind,checkpoint_epoch,checkpoint_sha256,training_commit,parameter_count,point_global_cv_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,peak_rmse_K,source_region_cv_rmse_K,layer_mean_rmse_K,layer_drop_rmse_K,top_surface_cv_rmse_K,bottom_surface_cv_rmse_K,graph_build_seconds,inference_seconds,process_peak_rss_bytes,process_peak_rss_GiB,gpu_memory,device,batch_size,global_context_fit_population,global_context_fit_sample_count
1024,V6_03_V5best_P1h,point_global_best,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,950a1ce,893736,144.98353758488267,148.39016028892354,58.56450995052452,61.76071374812064,62.16123685859402,61.50512942636504,3.7501263105097054,62.36134916724461,46.52992660145858,4.851587999990443,22.38975937500072,918552576,0.85546875,N/A,TFRT_CPU_0,1,train_only,768
1024,V6_04_V5best_P1h_DualAttention,point_global_best,111,a127b020da14f3c7bdc544c0068ea755d9f58f1be0ee6cd627add914a6aec122,950a1ce,924329,142.29486106635485,145.88935154455157,57.478448557996586,61.03527934246757,61.26210604668682,60.31246201782477,3.671505157757537,60.80583501981799,45.8608677762177,3.0562503330002073,20.181977833010023,1003700224,0.9347686767578125,N/A,TFRT_CPU_0,1,train_only,768
2048,V6_03_V5best_P1h,point_global_best,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,950a1ce,893736,138.35503689225618,141.5416526684384,56.01110472967037,59.1662482141118,59.38411971352389,58.60424592013657,3.590208700883988,59.218379587674114,44.3356802147217,9.042440666991752,24.4782579169987,1638924288,1.5263671875,N/A,TFRT_CPU_0,1,train_only,768
2048,V6_04_V5best_P1h_DualAttention,point_global_best,111,a127b020da14f3c7bdc544c0068ea755d9f58f1be0ee6cd627add914a6aec122,950a1ce,924329,137.25857419013406,140.61952736147245,55.56721711545531,59.20265394457419,59.286363259531164,58.10561789445924,3.538704197541617,58.688898736954464,44.18990828295886,7.277835708999191,22.83687945800193,1864531968,1.736480712890625,N/A,TFRT_CPU_0,1,train_only,768
4096,V6_03_V5best_P1h,point_global_best,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,950a1ce,893736,138.38932364022932,141.59692319941462,56.06182702002323,59.07720927632881,59.4219285369037,58.580940185938324,3.6183443977668803,59.031245438097365,44.365966110393394,24.8520592910063,29.562193457997637,2185035776,2.03497314453125,N/A,TFRT_CPU_0,1,train_only,768
4096,V6_04_V5best_P1h_DualAttention,point_global_best,111,a127b020da14f3c7bdc544c0068ea755d9f58f1be0ee6cd627add914a6aec122,950a1ce,924329,137.7815224177234,141.25733468979408,55.81560537443395,58.99351338188388,59.40926017784283,58.326724775810405,3.5471339493587184,58.77676792006081,44.33006471935812,23.144169124992914,27.23024604099919,2185035776,2.03497314453125,N/A,TFRT_CPU_0,1,train_only,768
8192,V6_03_V5best_P1h,point_global_best,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,950a1ce,893736,137.7321054866403,140.89024403807903,55.79849813128791,59.245380056503066,59.43468582484016,58.4381185145251,3.647752076040942,58.61306341969502,43.8669176927329,89.17758204200072,39.167403166997246,2549268480,2.3741912841796875,N/A,TFRT_CPU_0,1,train_only,768
8192,V6_04_V5best_P1h_DualAttention,point_global_best,111,a127b020da14f3c7bdc544c0068ea755d9f58f1be0ee6cd627add914a6aec122,950a1ce,924329,136.87375931012133,140.365559165438,55.45076201444522,59.006754800785586,59.30102742992428,58.0464605048242,3.5502176860557606,58.219829904635276,43.832135078433446,87.7895328750019,36.40926404199854,2720464896,2.53363037109375,N/A,TFRT_CPU_0,1,train_only,768
