topology,package_total_power_W,baseline_A_sample_id,comparison_sample_id,comparison_path,A_peak_deltaT_K,A_mean_deltaT_K,A_Rth_peak_K_W,A_top_heat_fraction,A_bottom_heat_fraction,A_junction_to_top_R_K_W,A_junction_to_board_R_K_W,A_energy_balance_relative_error,A_solver_peak_minus_projected_peak_K,comparison_peak_deltaT_K,comparison_mean_deltaT_K,comparison_Rth_peak_K_W,comparison_top_heat_fraction,comparison_bottom_heat_fraction,comparison_junction_to_top_R_K_W,comparison_junction_to_board_R_K_W,comparison_energy_balance_relative_error,comparison_solver_peak_minus_projected_peak_K,peak_deltaT_ratio_vs_A,top_heat_fraction_change_vs_A
single_layer_single_source,1.0,p1b_ss_p1,p1c_b_ss_p1,B_remote_dirichlet,0.009762146743412359,0.005967746397451822,0.009762146743412359,0.00030697367519731157,0.9996930262707227,0.0013418847012189872,0.007466585908105117,5.4080073752516e-11,2.2977573109983496e-05,16.017360573698625,11.466900109356471,16.017360573698625,0.7780481322267603,0.2219518712147108,0.3580011588653065,15.91843375904756,-3.441471080334324e-09,0.0016693628147095296,1640.7621186915037,0.777741158551563
single_layer_single_source,1.0,p1b_ss_p1,p1c_c0_ss_p1,C0_bottom_adiabatic,0.009762146743412359,0.005967746397451822,0.009762146743412359,0.00030697367519731157,0.9996930262707227,0.0013418847012189872,0.007466585908105117,5.4080073752516e-11,2.2977573109983496e-05,20.571274132673807,20.076636677644203,20.571274132673807,1.0000000002696137,0.0,0.46157544441689424,,-2.696136647273306e-10,0.0008800596937703631,2107.249017390115,0.9996930265944164
single_layer_single_source,4.0,p1b_ss_p4,p1c_b_ss_p4,B_remote_dirichlet,0.039048586977457944,0.023870985554493192,0.009762146744364486,0.0003069736746373605,0.9996930263124324,0.001341884712587671,0.007466585908275647,1.2930212456296886e-11,3.8920091697036696e-05,64.06944294150259,45.86760045608386,16.017360735375647,0.7780481313773798,0.22195186944989856,0.35800117051914526,15.918433754167737,-8.27278384685215e-10,0.00472011665408445,1640.7621350931017,0.7777411577027424
single_layer_single_source,4.0,p1b_ss_p4,p1c_c0_ss_p4,C0_bottom_adiabatic,0.039048586977457944,0.023870985554493192,0.009762146744364486,0.0003069736746373605,0.9996930263124324,0.001341884712587671,0.007466585908275647,1.2930212456296886e-11,3.8920091697036696e-05,82.28509651531795,80.30654669524135,20.571274128829486,1.0000000000780962,0.0,0.4615754444069182,,-7.809619617660246e-11,0.0017293029721940911,2107.2490167907913,0.9996930264034588
dual_layer_multi_source,1.0,p1b_dm_p1,p1c_b_dm_p1,B_remote_dirichlet,0.18844211400096356,0.07852148049819979,0.18844211400096356,0.004397630443046931,0.9956023695003269,0.0005481198141410459,0.0881949127211783,5.662614821488887e-11,0.0005063080301965783,16.132012128881854,11.444316098072962,16.132012128881854,0.7789563397569101,0.22104365709462404,0.3994396814081256,15.977623966626538,3.1484658213898342e-09,0.0035308078122398,85.60725512132265,0.7745587093138632
dual_layer_multi_source,1.0,p1b_dm_p1,p1c_c0_dm_p1,C0_bottom_adiabatic,0.18844211400096356,0.07852148049819979,0.18844211400096356,0.004397630443046931,0.9956023695003269,0.0005481198141410459,0.0881949127211783,5.662614821488887e-11,0.0005063080301965783,20.73037488655774,20.067062983109533,20.73037488655774,1.0000000002696248,0.0,0.510487328996021,,-2.6962476695757687e-10,0.002608057685563381,110.00924605659932,0.9956023698265778
dual_layer_multi_source,4.0,p1b_dm_p4,p1c_b_dm_p4,B_remote_dirichlet,0.7537684559811169,0.31408592195753526,0.18844211399527921,0.004397630442487322,0.9956023695431575,0.0005481198233496798,0.08819491271917457,1.4355183708403274e-11,0.002761188942827175,64.52804983020957,45.77726450893914,16.132012457552392,0.7789563390105468,0.2210436598684655,0.3994396920311516,15.977623961738587,1.1209876638051952e-09,0.008001977139997507,85.60725686805087,0.7745587085680595
dual_layer_multi_source,4.0,p1b_dm_p4,p1c_c0_dm_p4,C0_bottom_adiabatic,0.7537684559811169,0.31408592195753526,0.18844211399527921,0.004397630442487322,0.9956023695431575,0.0005481198233496798,0.08819491271917457,1.4355183708403274e-11,0.002761188942827175,82.9214995308414,80.2682519171018,20.73037488271035,1.0000000000780855,0.0,0.5104873289865139,,-7.808553803556606e-11,0.013472789134937102,110.00924603950092,0.9956023696355982
