sample_id,group_id,split_role,layer_name,operator_point_count,solver_node_count,layer_average_signed_error_K,layer_drop_signed_error_K
p1g_v1_g000_t1_b0_p0,p1g_v1_g000,train,tim_between_dies,25,16900,0.03244593900598147,0.17903461290615041
p1g_v1_g000_t1_b0_p0,p1g_v1_g000,train,silicon_die_upper,159,16900,0.13783936047866518,0.14968410940502963
p1g_v1_g000_t1_b0_p0,p1g_v1_g000,train,tim_to_spreader,18,16900,0.4442093906473019,0.4012810145861181
p1g_v1_g000_t1_b0_p0,p1g_v1_g000,train,spreader,193,71825,0.4057345770416987,-0.5632598025020457
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,pcb_fr4_equivalent,260,33800,0.13077264030033575,-0.8067626503627139
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,bt_substrate_with_vias,146,33800,0.042869224645983195,-0.02257727044167268
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.09897563970389456,-0.002149115010809055
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,bump_underfill_under_interposer,24,16900,-0.11090362080926752,-0.01973968387522973
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,silicon_die_lower,160,16900,-0.14324015939928358,0.08102587986866183
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,tim_between_dies,25,16900,0.04866890850888694,0.26855191936044776
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,silicon_die_upper,159,16900,0.20675904071822515,0.22452616410743076
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,tim_to_spreader,18,16900,0.6663140859719192,0.6019215218796603
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,spreader,193,71825,0.6086018655629459,-0.8448897037549159
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,pcb_fr4_equivalent,260,33800,0.316504179518347,-1.9382575660822
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,bt_substrate_with_vias,146,33800,0.008780990609864148,-0.04651505531893463
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.22501590218291767,0.06369095661870006
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,bump_underfill_under_interposer,24,16900,-0.17793508490944987,0.010622734384412524
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,silicon_die_lower,160,16900,-0.16258583376276192,0.0998918252397516
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,tim_between_dies,25,16900,-0.013832051647113985,0.17772515076654827
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,silicon_die_upper,159,16900,0.10064346252983114,0.16694835158119758
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,tim_to_spreader,18,16900,0.4093389856308818,0.3925088681480702
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,spreader,193,71825,0.39051934478470685,-0.5247949958423419
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,pcb_fr4_equivalent,260,33800,0.4747562692602969,-2.90738634902317
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,bt_substrate_with_vias,146,33800,0.013171485915165704,-0.06977258297649769
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.3375238532637468,0.09553643492324682
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,bump_underfill_under_interposer,24,16900,-0.26690262735758097,0.01593410157516928
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,silicon_die_lower,160,16900,-0.24387875064019227,0.149837737856501
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,tim_between_dies,25,16900,-0.020748077467658277,0.2665877261505898
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,silicon_die_upper,159,16900,0.15096519379750362,0.25042252737057424
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,tim_to_spreader,18,16900,0.6140084784491933,0.5887633022231284
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,spreader,193,71825,0.585779017178254,-0.7871924937675772
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,pcb_fr4_equivalent,269,33800,0.07740799631727668,-0.8981360560765097
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,bt_substrate_with_vias,131,33800,0.04440270971525706,0.08760573056537169
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.05253895637463302,0.0005297693687680294
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,bump_underfill_under_interposer,38,16900,-0.06124987502766999,-0.017497277143718293
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,silicon_die_lower,156,16900,-0.08968960995184716,0.04417164423074382
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,tim_between_dies,22,16900,0.033092888590033454,0.17874072530725016
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,silicon_die_upper,158,16900,0.1340982701422604,0.1367156613082443
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,tim_to_spreader,22,16900,0.4295555016998378,0.3923034830737038
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,spreader,195,71825,0.3794440069800089,-0.5585141768639801
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,pcb_fr4_equivalent,269,33800,0.1161119944737834,-1.3472040840705404
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,bt_substrate_with_vias,131,33800,0.06660406457319823,0.1314085958429132
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,silicon_interposer_tsv_0p1,33,16900,-0.07880843456030107,0.0007946540520720191
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,bump_underfill_under_interposer,38,16900,-0.09187481254036811,-0.026245915715492174
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,silicon_die_lower,156,16900,-0.13453441492697493,0.0662574663458031
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,tim_between_dies,22,16900,0.04963933288632916,0.2681110879617563
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,silicon_die_upper,158,16900,0.20114740521501062,0.20507349196225277
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,tim_to_spreader,22,16900,0.6443332525518031,0.5884552246112094
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,spreader,195,71825,0.5691660104709513,-0.8377712652995228
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,pcb_fr4_equivalent,269,33800,0.2535903594735487,-3.1758902599423777
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,bt_substrate_with_vias,131,33800,0.02373272407157856,0.22799894028338485
