sample_id,package_total_power_W,interface_index,interface_z_m,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K,family_id,selection_bin
p1d64_f00_near_adiabatic_low_a64_l3,2.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.03434957514423331,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_high_a16_l0,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.05431348403311631,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a16_l0,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.008649457917840664,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a16_l0,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0005858095081521242,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a16_l0,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00022385373455335866,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a16_l0,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.1377215045233129,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a16_l0,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.03428548146769117,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a16_l0,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.27449376458446295,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a16_l0,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.05974872971921741,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a32_l1,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.05438730484121379,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a32_l1,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.008646053275924714,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a32_l1,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0007080613107746103,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a32_l1,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.0002671929382813687,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a32_l1,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.13783281200238662,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a32_l1,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.034311128293666115,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a32_l1,3.5,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.2744672544839659,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a32_l1,3.5,7,0.003175,tim_to_spreader,spreader,0.0,-0.0597428177983943,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a48_l2,3.5,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.05491011342365937,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a48_l2,3.5,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.008767527955740206,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a48_l2,3.5,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0005365995762076636,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a48_l2,3.5,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.0002104525797790302,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a48_l2,3.5,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.13818025498301267,f00_near_adiabatic,high
p1d64_f00_near_adiabatic_high_a48_l2,3.5,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.03440237161294135,f00_near_adiabatic,high
