scope,factor_a,factor_b,level_a,level_b,observed_count,independence_expected_count
train,layout_kind,alignment_relation,distributed,partly_aligned,12,12.0
train,layout_kind,alignment_relation,edge_balanced,offset,12,12.0
train,layout_kind,alignment_relation,edge_balanced,partly_aligned,12,12.0
train,layout_kind,alignment_relation,mixed,offset,12,12.0
train,layout_kind,alignment_relation,mixed,partly_aligned,12,12.0
valid,source_count,layout_kind,3,clustered,1,0.5
valid,source_count,layout_kind,3,distributed,1,0.5
valid,source_count,layout_kind,3,edge_balanced,0,0.5
valid,source_count,layout_kind,3,mixed,0,0.5
valid,source_count,layout_kind,4,clustered,1,0.5
valid,source_count,layout_kind,4,distributed,0,0.5
valid,source_count,layout_kind,4,edge_balanced,0,0.5
valid,source_count,layout_kind,4,mixed,1,0.5
valid,source_count,layout_kind,5,clustered,0,0.5
valid,source_count,layout_kind,5,distributed,0,0.5
valid,source_count,layout_kind,5,edge_balanced,1,0.5
valid,source_count,layout_kind,5,mixed,1,0.5
valid,source_count,layout_kind,6,clustered,0,0.5
valid,source_count,layout_kind,6,distributed,1,0.5
valid,source_count,layout_kind,6,edge_balanced,1,0.5
valid,source_count,layout_kind,6,mixed,0,0.5
valid,source_count,layout_kind,7,clustered,1,0.5
valid,source_count,layout_kind,7,distributed,1,0.5
valid,source_count,layout_kind,7,edge_balanced,0,0.5
valid,source_count,layout_kind,7,mixed,0,0.5
valid,source_count,layout_kind,8,clustered,1,0.5
valid,source_count,layout_kind,8,distributed,0,0.5
valid,source_count,layout_kind,8,edge_balanced,0,0.5
valid,source_count,layout_kind,8,mixed,1,0.5
valid,source_count,layout_kind,9,clustered,0,0.5
valid,source_count,layout_kind,9,distributed,0,0.5
valid,source_count,layout_kind,9,edge_balanced,1,0.5
valid,source_count,layout_kind,9,mixed,1,0.5
valid,source_count,layout_kind,10,clustered,0,0.5
valid,source_count,layout_kind,10,distributed,1,0.5
valid,source_count,layout_kind,10,edge_balanced,1,0.5
valid,source_count,layout_kind,10,mixed,0,0.5
valid,source_count,alignment_relation,3,offset,1,1.0
valid,source_count,alignment_relation,3,partly_aligned,1,1.0
valid,source_count,alignment_relation,4,offset,1,1.0
valid,source_count,alignment_relation,4,partly_aligned,1,1.0
valid,source_count,alignment_relation,5,offset,1,1.0
valid,source_count,alignment_relation,5,partly_aligned,1,1.0
valid,source_count,alignment_relation,6,offset,1,1.0
valid,source_count,alignment_relation,6,partly_aligned,1,1.0
valid,source_count,alignment_relation,7,offset,1,1.0
valid,source_count,alignment_relation,7,partly_aligned,1,1.0
valid,source_count,alignment_relation,8,offset,1,1.0
valid,source_count,alignment_relation,8,partly_aligned,1,1.0
valid,source_count,alignment_relation,9,offset,1,1.0
valid,source_count,alignment_relation,9,partly_aligned,1,1.0
valid,source_count,alignment_relation,10,offset,1,1.0
valid,source_count,alignment_relation,10,partly_aligned,1,1.0
valid,layout_kind,alignment_relation,clustered,offset,2,2.0
valid,layout_kind,alignment_relation,clustered,partly_aligned,2,2.0
valid,layout_kind,alignment_relation,distributed,offset,2,2.0
valid,layout_kind,alignment_relation,distributed,partly_aligned,2,2.0
valid,layout_kind,alignment_relation,edge_balanced,offset,2,2.0
valid,layout_kind,alignment_relation,edge_balanced,partly_aligned,2,2.0
valid,layout_kind,alignment_relation,mixed,offset,2,2.0
valid,layout_kind,alignment_relation,mixed,partly_aligned,2,2.0
test,source_count,layout_kind,3,clustered,0,0.5
test,source_count,layout_kind,3,distributed,0,0.5
test,source_count,layout_kind,3,edge_balanced,1,0.5
test,source_count,layout_kind,3,mixed,1,0.5
test,source_count,layout_kind,4,clustered,0,0.5
test,source_count,layout_kind,4,distributed,1,0.5
test,source_count,layout_kind,4,edge_balanced,1,0.5
test,source_count,layout_kind,4,mixed,0,0.5
test,source_count,layout_kind,5,clustered,1,0.5
test,source_count,layout_kind,5,distributed,1,0.5
test,source_count,layout_kind,5,edge_balanced,0,0.5
test,source_count,layout_kind,5,mixed,0,0.5
test,source_count,layout_kind,6,clustered,1,0.5
test,source_count,layout_kind,6,distributed,0,0.5
test,source_count,layout_kind,6,edge_balanced,0,0.5
test,source_count,layout_kind,6,mixed,1,0.5
test,source_count,layout_kind,7,clustered,0,0.5
test,source_count,layout_kind,7,distributed,0,0.5
test,source_count,layout_kind,7,edge_balanced,1,0.5
test,source_count,layout_kind,7,mixed,1,0.5
test,source_count,layout_kind,8,clustered,0,0.5
test,source_count,layout_kind,8,distributed,1,0.5
test,source_count,layout_kind,8,edge_balanced,1,0.5
test,source_count,layout_kind,8,mixed,0,0.5
test,source_count,layout_kind,9,clustered,1,0.5
test,source_count,layout_kind,9,distributed,1,0.5
test,source_count,layout_kind,9,edge_balanced,0,0.5
test,source_count,layout_kind,9,mixed,0,0.5
test,source_count,layout_kind,10,clustered,1,0.5
test,source_count,layout_kind,10,distributed,0,0.5
test,source_count,layout_kind,10,edge_balanced,0,0.5
test,source_count,layout_kind,10,mixed,1,0.5
test,source_count,alignment_relation,3,offset,1,1.0
test,source_count,alignment_relation,3,partly_aligned,1,1.0
test,source_count,alignment_relation,4,offset,1,1.0
test,source_count,alignment_relation,4,partly_aligned,1,1.0
test,source_count,alignment_relation,5,offset,1,1.0
test,source_count,alignment_relation,5,partly_aligned,1,1.0
test,source_count,alignment_relation,6,offset,1,1.0
test,source_count,alignment_relation,6,partly_aligned,1,1.0
test,source_count,alignment_relation,7,offset,1,1.0
test,source_count,alignment_relation,7,partly_aligned,1,1.0
test,source_count,alignment_relation,8,offset,1,1.0
test,source_count,alignment_relation,8,partly_aligned,1,1.0
test,source_count,alignment_relation,9,offset,1,1.0
test,source_count,alignment_relation,9,partly_aligned,1,1.0
test,source_count,alignment_relation,10,offset,1,1.0
test,source_count,alignment_relation,10,partly_aligned,1,1.0
test,layout_kind,alignment_relation,clustered,offset,2,2.0
test,layout_kind,alignment_relation,clustered,partly_aligned,2,2.0
test,layout_kind,alignment_relation,distributed,offset,2,2.0
test,layout_kind,alignment_relation,distributed,partly_aligned,2,2.0
test,layout_kind,alignment_relation,edge_balanced,offset,2,2.0
test,layout_kind,alignment_relation,edge_balanced,partly_aligned,2,2.0
test,layout_kind,alignment_relation,mixed,offset,2,2.0
test,layout_kind,alignment_relation,mixed,partly_aligned,2,2.0
