resolution,batch_size,production_seconds_valid128,latency_seconds_per_sample,samples_per_second,device_peak_memory_GB,fvm_cold_speedup,fvm_warm_speedup
4096,8,16.027851549336145,0.12521759022918863,7.986098424108602,0.973129728,21.454407220041137,11.637768106620126
8192,8,16.043554132678157,0.1253402666615481,7.978282052808015,1.685836032,21.43340877950607,11.626377673920615
16384,8,16.76763193801162,0.13099712451571577,7.633755349187299,3.12813824,20.507848411336393,11.124315005725581
4096,16,10.596454445660735,0.08278480035672449,12.079512128928767,1.483309824,32.45123694582951,17.602908646003744
8192,16,10.574598715718215,0.08261405246654856,12.104478235163592,2.644552704,32.51830762057147,17.639290586152264
16384,16,11.493315913636858,0.08979153057528795,11.136907830761666,5.221683968,29.91895955751328,16.229295442683302
