sample_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g000_t0_b0_p0,train,0.4991377326058735,0.01288796386253636,1.801063791711556,0.514958614690272,0.7913772848581857,0.043216695543264905,-1.2022226617003362e-10
p1g_g000_t0_b0_p1,train,0.7487065988973935,0.012887963862787594,2.7015956874790277,0.7724379220363176,1.1870659272656212,0.06482504331165728,-8.516248123369152e-11
p1g_g000_t0_b1_p0,train,1.4436326824312,0.042629728674147944,6.541087733006179,1.6648749259803708,2.5952494572011915,0.04266253157061328,-1.1949166656144428e-10
p1g_g000_t0_b1_p1,train,2.16544902357441,0.042629728674189675,9.811631599172586,2.4973123888808573,3.892874185670678,0.06399379735682942,-8.445316668215241e-11
p1g_g000_t1_b0_p0,train,0.4199582504423679,0.014991345113922661,1.581813742528709,0.5178465729932213,0.5950103929056354,0.04319204707616109,-1.1863654156285541e-10
p1g_g000_t1_b0_p1,train,0.62993737565742,0.014991345114307029,2.372720613799572,0.7767698594908552,0.892515589345237,0.06478807060824465,-8.276621980366865e-11
p1g_g000_t1_b1_p0,train,1.0760932056093502,0.04340590109760637,4.778930011284842,1.209641379367497,1.9261691574387783,0.0427838627186361,-1.1813371114666182e-10
p1g_g000_t1_b1_p1,train,1.6141398083600145,0.04340590109766623,7.16839501667522,1.8144620689820385,2.889253736057242,0.06417579407417406,-8.230804926512292e-11
p1g_g001_t0_b0_p0,train,0.6130646359366632,0.015823290080267477,3.9936781124266645,0.5199997763530746,0.7948610823603985,0.08975758151109403,-1.2022350823204242e-10
p1g_g001_t0_b0_p1,train,0.919596953891627,0.01582329008058071,5.990517168648239,0.779999664530294,1.1922916235039906,0.1346363722717001,-8.518129257506502e-11
p1g_g001_t0_b1_p0,train,1.4892782405817435,0.04395962217743542,6.561320560221532,1.6705265544229633,2.5992186557733703,0.08975726822052366,-1.195673421383603e-10
p1g_g001_t0_b1_p1,train,2.2339173608027414,0.04395962217757285,9.84198084005618,2.5057898315455986,3.898827983531419,0.13463590233340028,-8.452714454302661e-11
p1g_g001_t1_b0_p0,train,0.5498780448193142,0.019616797167425506,3.9986457938783246,0.5228887070246628,0.5985034604146904,0.08975512959148091,-1.185496735500724e-10
p1g_g001_t1_b0_p1,train,0.8248170672163266,0.01961679716779228,5.997968690831556,0.7843330605380743,0.897755190572866,0.13463269438676662,-8.275651922999098e-11
