row_type,seed,resolution,support_point_global_pct,support_sample_first_pct,support_raw_cv_rmse_K,support_peak_rmse_K,support_source_rmse_K,support_layer_mean_rmse_K,support_layer_drop_rmse_K,support_top_rmse_K,support_bottom_rmse_K,support_shape_cv_rmse,support_scale_log_rmse,full_point_global_pct,full_sample_first_pct,full_raw_cv_rmse_K,full_peak_rmse_K,full_source_rmse_K,full_layer_rmse_K_mean,full_interface_rmse_K_mean,full_top_rmse_K,full_bottom_rmse_K
seed,seed0,4096,1.335878682686007,1.290370078788942,0.5706654015226466,1.5620920947748862,0.8498861659540874,0.111445359149441,0.11126469427547439,0.3454067821171208,0.4895976867235923,0.012819790454206215,0.0014657419767519929,3.5240522673117822,3.3523405914821893,1.429033872650238,1.5607737583572399,0.8608690530600372,0.7912202619727737,0.6190650455239664,0.3234429472208817,0.475218188908752
seed,seed1,4096,1.3690638422460635,1.3051221550551397,0.5848415558773635,1.488744617811925,0.8392191207390753,0.1438952922701399,0.11709344990770477,0.3205392307033255,0.34136615153405614,0.01294309064809907,0.0015593266482252027,3.7509881531467517,3.567795049018577,1.5210583499220922,1.489417103681679,0.877983851685565,0.8157111866080142,0.6340762054547103,0.30551581778641074,0.3340637815134342
seed,seed2,4096,1.5671659604882573,1.4833283619122686,0.6694675225271662,1.3726722243698435,0.9706840898739977,0.14432568075311208,0.15561801595267205,0.4352230079576366,0.3781024987310057,0.014752374246320086,0.0014430481331748363,3.797298315490823,3.5934725916773553,1.5398375239007154,1.3725944751159276,0.9770148858387203,0.8894529067047114,0.6829500691885008,0.4191296683522996,0.3667727809426587
mean,seed0_seed1_seed2,4096,1.4240361618067758,1.3596068652521167,0.6083248266423921,1.4745029789855515,0.8865964588557201,0.13322211072423099,0.12799205337861708,0.36705634025936096,0.4030221123295514,0.013505085116208458,0.0014893722527173439,3.6907795786497855,3.5045360773927072,1.4966432488243484,1.4742617790516155,0.9052892635281076,0.8321281184284999,0.6453637733890591,0.34936281111986406,0.3920182504549483
std,seed0_seed1_seed2,4096,0.12505965839033642,0.10739954604378871,0.053423429159084046,0.0955096331969265,0.07301707835228873,0.018860447778993945,0.02410163799749675,0.06032926087020118,0.07719382982199607,0.001081941941614462,6.163575035828277e-05,0.14623493099660967,0.1324289752958254,0.05929953755147786,0.0950006503071714,0.06270289271542101,0.0511326692101696,0.033404804363428554,0.061081144950863156,0.07388600665858723
seed,seed0,8192,1.4188582912335177,1.3947096296714243,0.6060430980535759,1.8685671731923759,0.9868160247331472,0.13158968025200393,0.1344842092496321,0.31550189425795366,0.590264217502427,0.013856409020362101,0.0015368242957128418,3.0214331971149524,2.916308086343266,1.2252174641895486,1.8558904745896014,0.9375158446952665,0.7471447198514634,0.6227780509463826,0.3015090126826327,0.5792818904640348
seed,seed1,8192,1.3855678949412724,1.3376582639906682,0.5918236266454456,1.3992716656632063,0.9721216557692398,0.14706219403993928,0.14081073556133344,0.32526798378222294,0.3635884625525542,0.013256533706267472,0.0016716022790739021,3.1481884410327585,2.9972854223095258,1.2766178190522655,1.3972542633096816,0.9212320050651447,0.7497937836875423,0.6012499966010337,0.31747155627267987,0.3592592494103661
seed,seed2,8192,1.6556541553508806,1.657167856284259,0.7071867429000234,1.7247129757560564,1.096840464102702,0.14652848143824013,0.16701738274624434,0.4410579949904,0.49980497483463465,0.016488009259549935,0.0015704596547243177,3.4489526553270187,3.331413664061637,1.3985803262188787,1.7148359875278483,1.0540437764784656,0.8536389550732943,0.6935365468699675,0.43347447824303004,0.49324051712859
mean,seed0_seed1_seed2,8192,1.4866934471752236,1.4631785833154505,0.635017822533015,1.6641839382038794,1.018592714868363,0.14172678524339444,0.14743744251906996,0.3606092910101922,0.48455255162987193,0.014533650662059838,0.0015929620765036871,3.2061914311582433,3.0816690575714762,1.3001385364868974,1.6559935751423769,0.9709305420796256,0.7835258195374334,0.639188198139128,0.35081834906611414,0.4772605523343303
std,seed0_seed1_seed2,8192,0.14726796427512104,0.17040420505883952,0.06290320454465223,0.2404316776903781,0.06816167409176412,0.008783045342599513,0.017249254426436916,0.06984153209387904,0.11410500331158392,0.001718895210244834,7.015016350067223e-05,0.2195825173712777,0.22004228818170854,0.08904262234587432,0.23491193178680006,0.07243720147446525,0.06073420136796413,0.048282207264175314,0.07202588053852092,0.11087835722167433
