seed,config_id,checkpoint_epoch,checkpoint_sha256,resolution,mode,point_global_pct,sample_first_pct,raw_rmse_K,shape_cv_rmse,scale_log_rmse,field_bias_K,peak_rmse_K,source_rmse_K,layer_mean_rmse_K,layer_drop_rmse_K,top_surface_rmse_K,bottom_surface_rmse_K,gate_passed,stop_reasons,test_hard_accessed,raw_payload_sha256,graph_build_seconds_valid128,first_compile_seconds_batch1,warm_inference_seconds_batch1_mean,warm_repeat_count,formal_inference_seconds_valid128,end_to_end_seconds_valid128_excluding_warm_benchmark,peak_ram_bytes,gpu_memory,observed_rss_bytes_at_termination,metric_status,seed_count,point_global_pct_mean,point_global_pct_std,sample_first_pct_mean,sample_first_pct_std,raw_rmse_K_mean,raw_rmse_K_std,shape_cv_rmse_mean,shape_cv_rmse_std,scale_log_rmse_mean,scale_log_rmse_std,field_bias_K_mean,field_bias_K_std,peak_rmse_K_mean,peak_rmse_K_std,source_rmse_K_mean,source_rmse_K_std,layer_mean_rmse_K_mean,layer_mean_rmse_K_std,layer_drop_rmse_K_mean,layer_drop_rmse_K_std,top_surface_rmse_K_mean,top_surface_rmse_K_std,bottom_surface_rmse_K_mean,bottom_surface_rmse_K_std
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,1024,upstream_like_joint_context_scale,0.9025038727294217,0.7489411994623284,0.386033073360223,0.007406689723986207,0.0015903044557132723,-0.027711757247179346,1.3645392365759579,0.6699779805253007,0.11810075310547716,0.10958487388494695,0.23170677020520283,0.24190523632418326,True,,False,e554921a21247b7f11c4c9eb79e9b0efdd47e1788a12da92cdc39dd5311be3fd,5.798640249995515,3.9957193750306033,0.1663058374891989,10,25.95506887504598,31.788594375073444,1296367616,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,1024,anchor_derived_context_scale_diagnostic,0.9025038484970528,0.7489411846036502,0.38603306299517515,0.007406689723986207,0.001590302501945286,-0.02771183441133889,1.3645391503715285,0.6699779527150581,0.11810071360491976,0.10958487486478806,0.2317067529584925,0.24190526959348962,True,,False,e554921a21247b7f11c4c9eb79e9b0efdd47e1788a12da92cdc39dd5311be3fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,2048,upstream_like_joint_context_scale,2.549863596338958,2.5527164979083534,1.0895862647965122,0.012267752487999998,0.02161131018033723,0.8982615719780648,1.6409218497058986,1.2607482478339995,0.9223422761573942,0.13636711292618361,1.0549284078821928,0.8247051576332755,True,,False,f1090ed7122f3521308b36780d559ce8388dc281f0cf9614b5919961a1737212,10.063798624963965,3.990488707961049,0.17955744570354,10,27.230238082935102,37.322644167987164,1212923904,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,2048,anchor_derived_context_scale_diagnostic,1.3251606372675937,1.2385493750035108,0.5662564974412169,0.012331519664960596,0.0012391362812948197,0.015012973962280466,1.446944582377741,0.8330707681145249,0.11626861886547364,0.11603594605494502,0.33054873742674634,0.49854673546899947,True,,False,f1090ed7122f3521308b36780d559ce8388dc281f0cf9614b5919961a1737212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,4096,upstream_like_joint_context_scale,3.5501814334653368,3.572683168979904,1.5165791171494702,0.014017985829007224,0.03195017619555208,1.3280870515563765,2.214270878233636,1.9987015589775816,1.3630860605180546,0.16701072243482573,1.4271757885396696,1.1188711408968812,True,,False,325d9e0f0e06fccaaf00e932342c20c31e49f564badb1b098897f28196aed6db,26.88317870796891,3.9034589169896208,0.23651839580270462,10,33.44175091700163,60.353355833969545,2011693056,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,4096,anchor_derived_context_scale_diagnostic,1.4519174242346187,1.4002997296022346,0.6202352433775045,0.013926985691353536,0.0014657375716658947,0.024302233720569104,1.5354110733528914,0.9723519587081833,0.13392731066319896,0.13488717092236652,0.38264918566390477,0.585965473201141,True,,False,325d9e0f0e06fccaaf00e932342c20c31e49f564badb1b098897f28196aed6db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,8192,upstream_like_joint_context_scale,4.175571671592373,4.199657836139606,1.7835300449889007,0.015940914186146,0.03773973683804497,1.5791731847086707,2.776553161865137,2.518824877356148,1.6292331206290345,0.16850338887488622,1.615516272683101,1.5856074461716703,True,,False,c3cd5bd32288c805447f96c5924a0cd983cb5ecd6d454a5bbbd02dd311f37ec4,97.79839266597992,4.059809791971929,0.31531944589223715,10,46.03451962600229,143.86141933308681,1979285504,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,8192,anchor_derived_context_scale_diagnostic,1.6484399060316206,1.609235216221573,0.7041052892872216,0.016010826099572634,0.001536820312934765,0.03310897405479842,1.6887633689682264,1.1747503349363644,0.17805741719090282,0.16660858375939053,0.3787461483170339,0.7584981337757679,True,,False,c3cd5bd32288c805447f96c5924a0cd983cb5ecd6d454a5bbbd02dd311f37ec4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,16384,upstream_like_joint_context_scale,4.486250678121582,4.50176087110093,1.9157057687968801,0.01779254898601414,0.040090022705526855,1.6822624036420528,3.123212463464149,2.8032237058556913,1.749835896627293,0.23730214842760097,1.6572386582870438,1.5675594333830891,True,,False,ffa1a097e89504e9e84b436ff7f843ddb6b1b6aa0c8da39442f1e042930a3d5f,387.8283459999948,4.3826437090174295,0.5762496292998549,10,78.42319916706765,466.2931598739815,4710137856,N/A_CPU_only,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed0,V6_03_V5best_P1h,111,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,16384,anchor_derived_context_scale_diagnostic,1.8362064352091318,1.8064383593297084,0.784091552838715,0.01796907250614093,0.0017361229286474585,0.04456038640590751,1.9024014825341964,1.403163514977249,0.21433348235638308,0.20601689756648311,0.4157681333924043,0.7662614871682727,True,,False,ffa1a097e89504e9e84b436ff7f843ddb6b1b6aa0c8da39442f1e042930a3d5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
