platform,resolution,batch_size,support_point_global_relative_rmse_pct,support_sample_first_relative_rmse_pct,support_raw_cv_rmse_K,support_peak_rmse_K,support_source_rmse_K,support_layer_mean_rmse_K,support_layer_drop_rmse_K,support_top_rmse_K,support_bottom_rmse_K,support_shape_cv_rmse,support_scale_log_rmse,full_point_global_relative_rmse_pct,full_sample_first_relative_rmse_pct,full_raw_cv_rmse_K,full_peak_rmse_K,full_source_rmse_K,full_top_rmse_K,full_bottom_rmse_K,sampling_floor_point_global_relative_rmse_pct,sampling_floor_raw_cv_rmse_K,graph_uncached_build_seconds,graph_cached_load_seconds,compile_seconds,warm_batch_seconds_mean,formal_inference_seconds,samples_per_second,end_to_end_seconds_valid128,process_peak_ram_GB,device_peak_memory_GB
cpu,1024,1,0.9025038727294217,0.7489411994623284,0.386033073360223,1.3645392365759579,0.6699779805253007,0.11810075310547716,0.10958487388494695,0.23170677020520283,0.24190523632418326,0.007406689723986207,0.0015903044557132723,4.577841497289382,4.257501291658106,1.8563545790541571,1.3717649765602922,0.8987133578082653,0.20810712932099987,0.2336699171771652,4.6064673515021815,1.8679626121367199,0.825902791984845,0.0020705839851871133,3.926043750019744,0.1595790665014647,25.995102250017226,4.924004482418036,37.22128183400491,1.50396928,N/A
cpu,2048,1,1.1917036581710783,1.1188392189396872,0.5092287836554366,1.393775424669522,0.8285995612172747,0.109422605562426,0.10888447129132213,0.30777609380389676,0.4560546708441725,0.0111283652216135,0.0012391362812948182,3.8528072016913266,3.6268020904514824,1.562346860481616,1.4258987316499063,0.9617093519493366,0.29159576911956886,0.43196479850976777,3.713186402415324,1.5057294109214518,0.7546596250031143,0.0012014160165563226,2.2295203329995275,0.17525965010863728,25.809029790980276,4.959504523673856,68.31532058404991,1.911586816,N/A
cpu,4096,1,1.335878703668044,1.2903700811849754,0.5706654104858278,1.5620928230838802,0.8498865973781147,0.11144508593482298,0.11126470967343202,0.3454065623877985,0.4895973738080529,0.012819790955402938,0.0014657375716658934,3.5240522118132875,3.3523405987218577,1.4290338501451156,1.5607744477783845,0.8608693556711583,0.3234426861433597,0.47521786709675434,3.2546217496968533,1.3197774522591963,0.8119278340018354,0.0011342910001985729,3.4536109999753535,0.20977347500156612,30.32231412496185,4.221313698964295,74.15656170801958,1.7137664,N/A
cpu,8192,1,1.418858270381138,1.394709600817368,0.6060430891468085,1.8685676995244334,0.98681651336914,0.13158944249656845,0.13448424611236812,0.3155016619715933,0.5902641356124694,0.013856409056731824,0.0015368203129347705,3.02143314902738,2.9163081078567012,1.2252174446896194,1.8558909975924256,0.937516273898124,0.3015087457682665,0.5792818290455878,2.602756670273006,1.055440487811983,0.7783759579760954,0.0024941249866969883,2.8265864169807173,0.2418027916981373,34.323572125984356,3.7292155819381847,77.3204699580092,2.083913728,N/A
cpu,16384,1,1.6442561669742388,1.6227097127545025,0.7021255053387434,1.7979205848153517,1.2159680050983457,0.18916171505678878,0.16560628592174018,0.344203294749974,0.7031924670594124,0.01612395340288718,0.0017361229286474713,2.7979990972972884,2.7776824166078957,1.1346129916321308,1.796236357111411,1.174775720026506,0.333783896867581,0.6941007995619846,1.9835437041125714,0.8043442395425192,0.8945441659889184,0.0017041669925674796,3.569135208032094,0.402404633309925,54.501598667004146,2.348554962250907,96.73649849998765,2.162425856,N/A
cpu,32768,1,1.8863129628523496,1.8640666009375122,0.805413818947032,1.9229737762606245,1.5247285657936205,0.24459932612597274,0.2307368384581829,0.40389737554066824,0.790161014174838,0.018539226540386953,0.00182586988137857,2.6659577538796593,2.664897399121732,1.081069077404669,1.922241482659696,1.5091979187008155,0.3986014069154288,0.7837495184682816,1.4647933114396274,0.5939864393882847,1.1536822079797275,0.00146416702773422,4.128728875017259,0.8675111874938011,110.0966202080017,1.162615162556072,161.2851499579847,2.959310848,N/A
gpu,1024,1,0.9119902330154642,0.7502958252564772,0.39009072776689974,1.379812854884333,0.6800471200533565,0.1181685898720203,0.11044100092992588,0.23125287097305697,0.2428038785778714,0.007420724106664195,0.0016073762849293037,4.579901346916233,4.259883823584849,1.8571898660096426,1.3873639988681918,0.9090483089704752,0.20792903535533175,0.23428637817109932,4.606471688528982,1.8679643708388434,2.248666111001512,0.0024251639988506213,9.17801019801118,0.3340270327971666,51.86335365200648,2.4680239704292233,69.93848769199394,2.033610752,0.121718528
gpu,2048,1,1.1948716589089377,1.118948104116866,0.5105825070843262,1.4023929007142242,0.8313018554506723,0.10867489014000843,0.10756218980030968,0.3093846865074059,0.45908713184712735,0.011130324514037993,0.001243551313876987,3.853063285099794,3.6269249757788353,1.562450704533056,1.434460858595775,0.9638205587950543,0.2933816056039112,0.43493262889656414,3.7131801595606793,1.5057268793895466,2.137337938998826,0.0025304959999630228,6.01589893399796,0.32839245699578895,49.11831421000534,2.605952628030678,132.384949135012,2.453487616,0.274594304
gpu,4096,1,1.3340158177965908,1.2881233898761397,0.5698696162811577,1.5625300540873637,0.8495201335525291,0.11114400351191484,0.11088563474739924,0.3443277132261029,0.4891716063186241,0.012799119623070832,0.0014593529437755158,3.523932385684867,3.3517821845791156,1.4289852596069077,1.561335346995985,0.8615914821462127,0.3225049643308282,0.47467754106214316,3.2546797819831954,1.319800984856502,2.3895340650051367,0.0021196309971855953,8.977178850007476,0.34393116799910783,51.887588990008226,2.4668712208741943,135.31051188500714,2.619809792,0.427748096
gpu,8192,1,1.4189682258389964,1.3948890130326324,0.6060900548985965,1.8763286918630797,0.9906501182338242,0.1316019187582451,0.13451170929078374,0.3166993700426289,0.5896959677778865,0.013860663693618687,0.001523172679868337,3.020380552780224,2.914912419324894,1.224790607748135,1.8634666040254728,0.9411796343882507,0.30275970578699507,0.5790460944374558,2.602676791042598,1.0554080960886727,2.595450405991869,0.0021805670112371445,8.202761516004102,0.33466080809594134,51.15145332501561,2.5023726928478416,135.41583491100755,2.669043712,0.709575424
