sample_id,package_total_power_W,interface_index,interface_z_m,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K,family_id,selection_bin
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0002660667137774908,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00011022356295598001,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.09500521080309454,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.023651804048995473,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.18918982793070427,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,7,0.003175,tim_to_spreader,spreader,0.0,-0.04118057564960509,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.04655441488694123,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.007413821072532301,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.000502122435648289,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00019187462947911627,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.11804700387682487,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.029387555543678445,f00_near_adiabatic,q3_55_67p5
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,3.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.23528036964370358,f00_near_adiabatic,q3_55_67p5
