query_resolution,sample_count,cpu_cold_model_core_s,cpu_cold_production_with_graph_build_s,cpu_cached_production_with_graph_load_s,cpu_persistent_production_s,gpu_b8_cold_model_core_s,gpu_b8_cold_production_with_graph_build_s,gpu_b8_cached_production_with_graph_load_s,gpu_b8_persistent_production_s,fvm_reference_nodes,fvm_reference_cold_s_per_sample,fvm_reference_warm_s_per_sample,fvm_reference_cold_s_valid128,fvm_reference_warm_s_valid128,gpu_b8_persistent_fvm_cold_speedup,gpu_b8_persistent_fvm_warm_speedup,nonmatched_dof
4096,128,25.992459999979474,34.4503524589818,32.53699733299436,21.32138400002926,31.551709557999857,47.491604909009766,42.6885835279827,16.027851549336145,240825,2.6864691718892573,1.4572532779570793,343.86805400182493,186.52841957850615,21.454407220041137,11.637768106620126,True
8192,128,37.560996957996394,45.98414179199608,43.966671250003856,33.356080722316015,30.03554923500633,46.094646976009244,41.30914386600489,16.043554132678157,240825,2.6864691718892573,1.4572532779570793,343.86805400182493,186.52841957850615,21.43340877950607,11.626377673920615,True
16384,128,65.0261874999851,73.7593469999847,70.77626766700996,59.56769891665317,31.804660056019202,49.09447059800732,43.30048744301894,16.76763193801162,240825,2.6864691718892573,1.4572532779570793,343.86805400182493,186.52841957850615,20.507848411336393,11.124315005725581,True
32768,128,112.16122695902595,122.67487350001466,119.55187549995026,107.28818155567085,32.66175504901912,50.97500923197367,45.57790355698671,18.185317598331796,240825,2.6864691718892573,1.4572532779570793,343.86805400182493,186.52841957850615,18.90910357448853,10.257088916369383,True
