sample_id,family_id,selection_bin,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,total_source_area_mm2,layout_seed,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,solver_cv_mean_minus_projected_unweighted_mean_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points
p1d_f00_low,f00_near_adiabatic,low,500.0,1.0,2.0,32.0,0,41.052786626490104,40.24541651398796,20.526393313245052,1.9959827370403325,0.004017263438469667,0.9979913685201662,0.0020086317192348335,-2.394010666789681e-10,6.881451124832261e-11,340.72107964181225,339.9186006311828,340.1715872379704,20.401518954113783,10136.522104043172,0.40204706971532533,136.7827657454205,19.99947188439846,9999.739338297752,20.360539820906126,20.36053981603179,-2.394011858744556e-10,True,0.01407134360982809,-0.0957493994105505,480,7,True,True
p1d_f00_high,f00_near_adiabatic,high,500.0,1.0,3.5,32.0,0,71.84237659010125,70.42947889323482,20.5263933114575,3.492969789507672,0.007030211016701415,0.9979913684307634,0.0020086317190575473,-1.498210095171989e-10,6.919340516360895e-11,371.2618893669093,369.85755109831194,370.3002776602437,20.401518954148628,10136.522104047097,0.4020470697501538,136.78276574930052,19.999471884398474,9999.739338297797,20.360539819116948,20.360539816066513,-1.4982090841919853e-10,True,0.005270324834896201,-0.19359360272891024,480,7,True,True
p1d_f01_low,f01_low_low,low,500.0,20.0,2.0,32.0,0,39.73977591888058,37.689919693669715,19.86988795944029,1.9314842316878464,0.06851576878908844,0.9657421158439232,0.03425788439454422,-2.3846744023892086e-10,6.915531430751637e-11,339.4136570306025,338.6286305367789,334.25689574399905,20.405891171143807,575.2494312941195,0.40643691568611795,75.26386082709622,19.99945425545769,499.9855704670233,19.706828515301254,19.706828510601817,-2.3846745711075745e-10,True,0.015518853013077205,-0.4250402082912643,480,7,True,True
p1d_f01_high,f01_low_low,high,500.0,20.0,3.5,32.0,0,69.54460785199115,65.95735945806148,19.869887957711757,3.380097405150779,0.11990259537025869,0.9657421157573653,0.03425788439150248,-1.4886786248169415e-10,6.88748757132713e-11,368.9738997974942,367.6001034333043,359.9495675466753,20.40589117117985,575.2494312946529,0.40643691572214263,75.26386082763075,19.999454255457707,499.9855704670222,19.70682851356977,19.706828510636058,-1.488678766541227e-10,True,0.006366433932953441,-0.6259829932278649,480,7,True,True
p1d_f02_low,f02_750_50,low,750.0,50.0,3.0,16.0,0,40.42320011612139,35.888477883074316,13.474400038707131,2.856820177972181,0.1431798225139028,0.9522733926573936,0.04772660750463426,-1.6202790035594697e-10,6.898439605887849e-11,339.74315071107327,338.08912774412596,328.63439957211267,13.91167390146468,277.5750801563831,0.5789734263643302,77.58600998322886,13.33270047510035,199.9890701731542,13.24771690369109,13.247716901544592,-1.620277747469725e-10,True,0.01132888641518548,-0.9782868447461794,240,7,True,True
p1d_f02_high,f02_750_50,high,750.0,50.0,5.0,16.0,0,67.3720001899311,59.8141298017637,13.47440003798622,4.761366963015479,0.23863303750984072,0.9522733926030957,0.047726607501968145,-1.0506387981834565e-10,6.863532501364555e-11,366.23858451483557,363.4818795699236,347.72399928418844,13.91167390149765,277.5750801567198,0.5789734263972991,77.58600998356577,13.332700475100351,199.98907017315406,13.247716902967113,13.247716901575256,-1.0506393715078347e-10,True,0.16843470893115864,-1.4658189611604513,240,7,True,True
p1d_f03_low,f03_1000_100,low,1000.0,100.0,4.0,16.0,0,40.83619946789992,34.11204098038781,10.20904986697498,3.7739062556085745,0.22609374486975334,0.9434765639021436,0.056523436217438335,-1.1958196238781582e-10,6.86156000906105e-11,339.9324079981532,337.73665579197456,322.6075351456683,10.581187049574389,176.61880925169882,0.5818247877555146,76.62694455552202,9.999362261818876,99.9918646961768,9.983101999538306,9.983101998344507,-1.1958195334649582e-10,True,0.12828630714693645,-1.5059813450793627,240,7,True,True
p1d_f03_high,f03_1000_100,high,1000.0,100.0,7.0,48.0,0,69.45151789731847,59.69607171303783,9.921645413902638,6.60433594701686,0.3956640535047228,0.9434765638595515,0.0565234362149604,-7.451187286225799e-11,6.867438413641421e-11,368.2924660323976,366.0405102423084,339.56422067747627,10.340549993257826,172.60214929174114,0.34098141102382795,72.60767082693407,9.999568582233998,99.99447846480706,9.756066576056801,9.756066575329859,-7.451179801145414e-11,True,0.03441473055511324,-2.4645056159947885,720,7,True,True
p1d_f04_low,f04_1500_200,low,1500.0,200.0,6.0,16.0,0,42.48913932764589,32.69017220342172,7.081523221274314,5.675757687461283,0.3242423130277021,0.9459596145768806,0.05404038550461702,-8.149758645714655e-11,6.853848847016475e-11,341.13218464198445,337.83478589126975,316.2098844865835,7.246994481961846,126.85631390271467,0.580961861356277,76.86319506754708,6.666032620605569,49.993118835167586,6.855364106997409,6.855364106438713,-8.149766980928343e-11,True,0.031317842055273104,-2.136601005342307,240,7,True,True
p1d_f04_high,f04_1500_200,high,1500.0,200.0,10.0,48.0,0,67.94100698602881,54.48362033751506,6.794100698602881,9.459596145497045,0.5404038550312567,0.9459596145497045,0.05404038550312566,-5.2830162466932505e-11,6.863584714882994e-11,366.283486937622,363.05991707070183,327.01767483082733,7.007010227299635,122.65546650067513,0.3407724618830219,72.66012583223255,6.666237765416613,49.99534066844257,6.6283486937622005,6.628348693412023,-5.2830302209751684e-11,True,0.04224741262748921,-3.061840181767053,720,7,True,True
p1d_f05_low,f05_2000_20,low,2000.0,20.0,8.0,48.0,0,43.66299012026832,39.81823884083314,5.45787376503354,7.926887706258212,0.07311229423074941,0.9908609632822765,0.009139036778843677,-6.112014019898915e-11,6.828268201194862e-11,342.3071554335209,339.6312028160413,336.55306110566187,5.33717103121314,578.6599350855475,0.3375792261276709,78.70214426179217,4.999591805085469,499.9577908237553,5.288394429190113,5.288394428866885,-6.112018896888699e-11,True,0.05560624780139278,-0.5289386601021988,720,7,True,True
p1d_f05_high,f05_2000_20,high,2000.0,20.0,13.0,64.0,0,69.97873074549193,64.70463811506298,5.382979288114764,12.881192522404714,0.11880747812259027,0.9908609632619011,0.00913903677866079,-4.056184234644779e-11,6.82361667716868e-11,368.1525306351947,364.4030348759678,359.4008092951819,5.2908556809980585,573.6383913887324,0.29108296865412453,73.66305116738893,4.999772712343934,499.97534022134346,5.242502356553438,5.242502356340792,-4.0561908498132504e-11,True,0.04239215428970056,-0.7186767168926451,984,7,True,True
p1d_f06_low,f06_2500_100,low,2500.0,100.0,10.0,64.0,0,43.26048783112827,36.281781674033965,4.326048783112827,9.756947822319178,0.2430521781677305,0.9756947822319179,0.02430521781677305,-4.8690884657531797e-11,5.792891964331308e-11,341.86863364991007,339.0255467626135,324.3034015475552,4.291160966766152,172.26191497455534,0.29139101070039247,72.26938772888953,3.9997699560657596,99.9925272456658,4.186863364991007,4.186863364787145,-4.8690821396644314e-11,True,0.028194951085993125,-1.1941131420765032,984,7,True,True
p1d_f06_high,f06_2500_100,high,2500.0,100.0,16.0,64.0,0,69.2167805287441,58.0508506775598,4.326048783046506,15.611116515460939,0.38888348506264825,0.9756947822163087,0.024305217816415516,-3.2724191412203396e-11,5.827559886214338e-11,366.9898138388547,362.44087481918297,338.88544247551465,4.291160966770653,172.26191497451418,0.29139101070487355,72.26938772885269,3.9997699560657796,99.99252724566149,4.186863364928417,4.186863364791406,-3.272408943388185e-11,True,0.07045196262572517,-2.149137533181353,984,7,True,True
p1d_f07_low,f07_2500_200,low,2500.0,200.0,10.0,48.0,0,43.588232667238,33.99818046244934,4.3588232667238005,9.660271182736317,0.3397288177499198,0.9660271182736316,0.033972881774991984,-4.862363844893025e-11,5.794696770178869e-11,341.914536918478,338.63705317000654,316.9839245867968,4.338857173428285,123.3764541850907,0.33927450756543936,73.38386097711935,3.9995826658628455,49.99259320797134,4.1914536918478005,4.191453691643997,-4.862351144129749e-11,True,0.1669851722367639,-1.9740422196753116,720,7,True,True
p1d_f07_high,f07_2500_200,high,2500.0,200.0,16.0,64.0,0,68.54320042934427,54.39708873908891,4.283950026834017,15.456433892130653,0.5435661083917807,0.9660271182581658,0.03397288177448629,-3.265207548786009e-11,5.769637659747113e-11,366.32919704645377,361.82214445009976,327.1759668379122,4.29136484582152,122.02599835132905,0.2915971839176108,72.03030064619388,3.999767661903909,49.995697705135164,4.145574815403361,4.145574815268,-3.2651938928857006e-11,True,0.13163488810027957,-3.4891862071847797,984,7,True,True
