sample_id,source_id,active_layer,declared_source_area_m2,source_power_W,surface_power_density_W_m2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,active_layer_power_W,package_total_power_W,total_source_area_mm2
p1d_f00_low,src_00,silicon_die_lower,3.999999999999998e-06,0.25,62500.00000000003,4.94384765624999e-10,505679012.34568006,540,9,20,3,8,19,1.0,2.0,32.0
p1d_f00_low,src_01,silicon_die_lower,4e-06,0.25,62500.0,4.394531249999991e-10,568888888.88889,480,8,20,3,7,19,1.0,2.0,32.0
p1d_f00_low,src_02,silicon_die_lower,4e-06,0.25,62500.0,4.94384765624999e-10,505679012.34568006,540,9,20,3,8,19,1.0,2.0,32.0
p1d_f00_low,src_03,silicon_die_lower,4.000000000000002e-06,0.25,62499.99999999996,4.943847656249988e-10,505679012.34568024,540,9,20,3,8,19,1.0,2.0,32.0
p1d_f00_low,src_04,silicon_die_upper,4e-06,0.25,62500.0,6.042480468750002e-10,413737373.7373736,720,9,20,4,8,19,1.0,2.0,32.0
p1d_f00_low,src_05,silicon_die_upper,4.0000000000000015e-06,0.25,62499.99999999998,5.371093750000002e-10,465454545.45454526,640,8,20,4,7,19,1.0,2.0,32.0
p1d_f00_low,src_06,silicon_die_upper,4.0000000000000015e-06,0.25,62499.99999999998,6.042480468750002e-10,413737373.7373736,720,9,20,4,8,19,1.0,2.0,32.0
p1d_f00_low,src_07,silicon_die_upper,4.000000000000004e-06,0.25,62499.999999999935,6.042480468749999e-10,413737373.7373738,720,9,20,4,8,19,1.0,2.0,32.0
p1d_f00_high,src_00,silicon_die_lower,3.999999999999998e-06,0.4375,109375.00000000006,4.94384765624999e-10,884938271.60494,540,9,20,3,8,19,1.75,3.5,32.0
p1d_f00_high,src_01,silicon_die_lower,4e-06,0.4375,109375.0,4.394531249999991e-10,995555555.5555576,480,8,20,3,7,19,1.75,3.5,32.0
p1d_f00_high,src_02,silicon_die_lower,4e-06,0.4375,109375.0,4.94384765624999e-10,884938271.60494,540,9,20,3,8,19,1.75,3.5,32.0
p1d_f00_high,src_03,silicon_die_lower,4.000000000000002e-06,0.4375,109374.99999999994,4.943847656249988e-10,884938271.6049404,540,9,20,3,8,19,1.75,3.5,32.0
p1d_f00_high,src_04,silicon_die_upper,4e-06,0.4375,109375.0,6.042480468750002e-10,724040404.0404038,720,9,20,4,8,19,1.75,3.5,32.0
p1d_f00_high,src_05,silicon_die_upper,4.0000000000000015e-06,0.4375,109374.99999999996,5.371093750000002e-10,814545454.5454541,640,8,20,4,7,19,1.75,3.5,32.0
p1d_f00_high,src_06,silicon_die_upper,4.0000000000000015e-06,0.4375,109374.99999999996,6.042480468750002e-10,724040404.0404038,720,9,20,4,8,19,1.75,3.5,32.0
p1d_f00_high,src_07,silicon_die_upper,4.000000000000004e-06,0.4375,109374.99999999988,6.042480468749999e-10,724040404.0404042,720,9,20,4,8,19,1.75,3.5,32.0
