group_id,package_total_power_W,top_extreme_relative_field_rms,bottom_extreme_relative_field_rms,top_extreme_field_pearson,bottom_extreme_field_pearson,top_bottom_effect_cosine
p1e_g00,2.0,3.5574710839951367,0.37433602387401,0.9980020728784641,0.4072900356150196,0.8245634557693889
p1e_g00,6.0,3.5574710839164423,0.37433602387404,0.998002072874095,0.4072900356169503,0.8245634557673868
p1e_g00,10.0,3.5574710838984274,0.37433602387376247,0.9980020728727667,0.4072900356190894,0.8245634557668932
p1e_g00,14.0,3.557471083890496,0.37433602387362797,0.9980020728721304,0.40729003562069216,0.8245634557667011
p1e_g01,2.0,3.612258974455988,0.3682727075503745,0.9963765830271197,0.3854510447556857,0.8236542664006223
p1e_g01,6.0,3.612258974425759,0.3682727075501463,0.9963765830307875,0.38545104474918446,0.8236542664009768
p1e_g01,10.0,3.612258974417897,0.3682727075501322,0.9963765830308732,0.3854510447484919,0.8236542664009825
p1e_g01,14.0,3.6122589744142113,0.36827270755008296,0.9963765830308676,0.3854510447480917,0.8236542664009263
