sample_id,seed,model,label,sse,truth_sse,cv_sse,cv_truth_energy,absolute_error_sum,node_count,hotspot_sse,hotspot_count,sample_first_relative_rmse_pct,point_global_relative_rmse_pct,rmse_K,mae_K,peak_temperature_absolute_error_K,true_hotspot_region_rmse_K
v6p1if1_0003,0,Heat3D,heat3d_seed0,627334.5541883346,5441089515.359932,1.1533975837770215e-06,0.008987099946109054,349261.40760040283,240825,17966.700331493514,2409,1.1328691043831212,1.0737586349086317,1.6139824956505295,1.450270559951844,1.2570037841796875,2.730962659793766
v6p1if1_0003,1,Heat3D,heat3d_seed1,1035089.0862080695,5441089515.359932,1.8447354130276187e-06,0.008987099946109054,451183.4542312622,240825,23099.7623236489,2409,1.4327065839834223,1.3792593264675144,2.0731851065120708,1.873490934210577,2.1921844482421875,3.096601755805761
v6p1if1_0003,2,Heat3D,heat3d_seed2,1367580.3074428292,5441089515.359932,2.6573521554776007e-06,0.008987099946109054,542675.287147522,240825,21929.357194218086,2409,1.7195498474493573,1.5853803967322326,2.383008737797994,2.2534009639677026,1.5619659423828125,3.0171336655711536
v6p1if1_0003,0,Therm-FM,thermfm_seed0,26507163.903457798,5441089515.359932,4.351223282099116e-05,0.008987099946109054,2498877.0486450195,240825,295631.73773235874,2409,6.9581838417295385,6.979731179234569,10.4913372348241,10.376319105761526,8.027847290039062,11.077892032208851
v6p1if1_0003,1,Therm-FM,thermfm_seed1,24192472.158133365,5441089515.359932,4.429185066895178e-05,0.008987099946109054,2386387.09576416,240825,333080.19039025693,2409,7.020242718710505,6.6680245408477905,10.022806373438161,9.909216633506322,9.14105224609375,11.758610428768732
v6p1if1_0003,2,Therm-FM,thermfm_seed2,46377317.66664198,5441089515.359932,8.151168801430272e-05,0.008987099946109054,3326663.9739990234,240825,490839.64989688806,2409,9.523578320549793,9.232299354331804,13.877205796594275,13.813615588078578,11.974655151367188,14.274188211811616
v6p1if1_0009,0,Heat3D,heat3d_seed0,67111.13234157265,189726243.94221354,9.55793409034347e-08,0.0003059346401210084,108419.24007034302,240825,1097.9789411322781,2409,1.7675336429353927,1.8807608624925987,0.5278937239946695,0.450199273623349,0.22407150268554688,0.6751163179861974
v6p1if1_0009,1,Heat3D,heat3d_seed1,190929.22089364636,189726243.94221354,2.88902021269901e-07,0.0003059346401210084,190971.10551834106,240825,1909.3569894272005,2409,3.0729887003192276,3.1722871769456233,0.8904005420438997,0.7929870466867687,1.0587348937988281,0.8902770286866089
v6p1if1_0009,2,Heat3D,heat3d_seed2,63652.61188810166,189726243.94221354,1.2792961577577952e-07,0.0003059346401210084,98089.29067993164,240825,1006.2338196473065,2409,2.044895978784734,1.831658096428936,0.5141115135325522,0.407305265981238,0.18837356567382812,0.6462953852928015
v6p1if1_0009,0,Therm-FM,thermfm_seed0,205270.4143825957,189726243.94221354,2.921121518906946e-07,0.0003059346401210084,158337.49597549438,240825,3425.489193716676,2409,3.0900142708238514,3.289269628807069,0.9232352864214076,0.657479480849141,11.018180847167969,1.192457476568149
v6p1if1_0009,1,Therm-FM,thermfm_seed1,581297.9154524549,189726243.94221354,9.309292289985993e-07,0.0003059346401210084,331340.8242492676,240825,3388.3747697368162,2409,5.516250836548273,5.535230087927817,1.5536335759406288,1.3758572583796016,13.594291687011719,1.1859798753482003
v6p1if1_0009,2,Therm-FM,thermfm_seed2,407431.91918120545,189726243.94221354,6.773663319583459e-07,0.0003059346401210084,252313.063331604,240825,2723.108583933914,2409,4.7054100573082795,4.634083130953137,1.3006988023228052,1.0477029516520462,11.877197265625,1.0631978252332457
v6p1if1_0017,0,Heat3D,heat3d_seed0,1216529.2423656161,1722431537.7740855,1.8462205784448487e-06,0.0026760564629318756,478793.54915237427,240825,75205.69887087093,2409,2.626601315602871,2.657604141926688,2.247555847335362,1.9881388940200322,2.8821029663085938,5.587364134408425
v6p1if1_0017,1,Heat3D,heat3d_seed1,1414664.8581354509,1722431537.7740855,2.0877972070344982e-06,0.0026760564629318756,534211.0736732483,240825,73269.37116556073,2409,2.7931645397923432,2.865865459624306,2.4236840129190087,2.2182542247409875,2.4055404663085938,5.5149659082069045
