checkpoint,epoch,sha256,parameter_count,parameter_reload_max_abs_error,training_replay_max_abs_error_K,evaluator_replay_max_abs_error_K,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,shape_cv_rmse,scale_log_rmse,legacy_normalized_valid_base_mse,delta_vs_v13_point_global_relative_rmse_pct,delta_vs_v13_sample_first_cv_relative_rmse_pct,delta_vs_v13_raw_cv_weighted_rmse_K
point_global_best,474,f3063b53ca26a2b91fffc090ad4de98fe260ac5d7b669bcfbfd77c1fcf045d24,893736,0.0,0.003509521484375,0.003875732421875,22.40838698203067,21.034804062145636,0.16006721883461994,1.0014178683773767,0.9815423045685845,0.3029440189876957,0.46749915232769046,0.3667948505460824,0.004501092134485514,0.01805778604157829,0.41211364150351876,0.1456970947972709,0.1974824296972043,0.03268147829799381,-1.2922910179693297,0.7183450621456373,-0.007914781165380053
legacy_best,474,9a107249f5dd5f08d58fa0ea084198a77863e0fe86aa7ffb90e6dff69bc5995f,893736,0.0,0.00341796875,0.002655029296875,22.408368067616035,21.034539475210348,0.1600671075939915,1.0014161692135817,0.9815431333146837,0.30294738433666313,0.46752631378605447,0.366808378600602,0.004501267199783593,0.018058236770747596,0.412247608052233,0.14569557020618254,0.1974834058912183,0.03268142312661793,-1.292309932383965,0.7180804752103498,-0.007914892406008484
sample_first_best,366,7e2c62667e6aed4d862214a384f9eeddc374b45ea6512a94d7a8a98c183b5b2e,893736,0.0,0.002716064453125,0.00299072265625,22.978048698689364,20.662153205730714,0.16395621178149927,0.9862308595560542,0.981624600375501,0.30560124961382684,0.4789332700827868,0.3716502047603597,0.0049463184275917345,0.018605271231767834,0.42212417912277983,0.14514079866831125,0.1936140138024776,0.03436424385061788,-0.7226293013106364,0.34569420573071596,-0.00402578821850072
final,600,27bf9b51a07567edf91e73e6af77c8a05c88017d8e9072f77bcec86342c6cefa,893736,0.0,0.002777099609375,0.002960205078125,22.627738805943586,21.024260885264184,0.16180298709209934,0.9919925543579241,0.9812958885336719,0.3058926188044009,0.4762477360146796,0.373203387573051,0.004812449696684078,0.01784705859472907,0.415793243755561,0.14652049621042976,0.1976811557984887,0.03332443654980159,-1.0729391940564135,0.7078018852641854,-0.006179012907900655
