alpha,sample_count,point_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,shape_cv_rmse,scale_log_rmse,legacy_normalized_valid_base_mse,strong_q_sample_count,point_global_gain_preserved_vs_v13,sample_first_recovered_vs_v13,q1_sample_first_delta_vs_v13_pct_points
0.0,128,131072,45.66146074386919,32.42285797436389,0.33553601437491776,0.7520004557935271,0.9815418616544223,0.6314012913456405,1.0587917979907269,0.832685360090401,-0.004710366562364135,0.018099382826086318,0.24214935365524926,0.14570035675345894,0.5340460856147894,0.13570007967496958,128,False,False,8.465127755581886
0.25,128,131072,40.05829426716587,28.80380783960338,0.29355351316589445,0.7966548204757731,0.981541861654422,0.5496725291099472,0.9228321418779568,0.7260889061496417,-0.0028612690226001974,0.017136379546606812,0.26876056997195197,0.14570035675345983,0.43020278088193176,0.1044396496257584,128,False,False,5.4766901920693645
0.5,128,131072,33.631268638322894,25.16769386562628,0.24499455884775417,0.8525470475584289,0.9815418616544223,0.45799653477133734,0.7649221425202367,0.6034153002544682,-0.0007607304268202107,0.016601017434787518,0.3074368223145461,0.14570035675345883,0.32986672137506395,0.07361511608087853,128,False,False,2.826472913235825
0.75,128,131072,26.925165958501445,22.06964287412419,0.1939554786203885,0.9203699929133772,0.9815418616544225,0.3639356282386035,0.5937304137039514,0.4679912914511123,0.0016718693879286795,0.01678421891444475,0.35534118511758483,0.14570035675345813,0.2445193012873978,0.04718427417361555,128,False,False,0.9233323723443918
1.0,128,131072,22.40840994445369,21.03492480682094,0.16006700823414,1.0014172919999886,0.9815418616544225,0.3029515973473115,0.4675092988872154,0.36680641668560443,0.004501310886979389,0.01805813534052461,0.41215856858083044,0.14570035675345805,0.19748183013913914,0.03268154527705077,128,True,False,0.2754618927149986
