sample_id,true_cv_rms_deltaT_K,total_power_W,source_occupancy_fraction,q_weighted_inverse_kz_mK_W,generator_condition_category,true_point_squared_sum_K2,cv_volume_m3,attention_residual_mean_pool_cosine,attention_residual_l2_norm,mean_pool_l2_norm,attention_residual_to_mean_pool_norm_ratio,v13_sample_relative_rmse_pct,v32_sample_relative_rmse_pct,v32_minus_v13_sample_relative_rmse_pct,v13_sample_point_relative_rmse_pct,v32_sample_point_relative_rmse_pct,v32_minus_v13_sample_point_relative_rmse_pct,v13_raw_cv_rmse_K,v32_raw_cv_rmse_K,v32_minus_v13_raw_cv_rmse_K,v13_shape_cv_rmse,v32_shape_cv_rmse,v32_minus_v13_shape_cv_rmse,v13_scale_log_abs_error,v32_scale_log_abs_error,v32_minus_v13_scale_log_abs_error,v13_scale_log_signed_error,v32_scale_log_signed_error,v32_minus_v13_scale_log_signed_error,v13_point_sse_K2,v32_point_sse_K2,v32_minus_v13_point_sse_K2,v13_raw_cv_sse_K2_m3,v32_raw_cv_sse_K2_m3,v32_minus_v13_raw_cv_sse_K2_m3
sample_0014,1.2896650226372384,1.4152010381866746,0.0634765625,0.1661538199456739,nominal_to_hard,1212.4752217344799,2.0000000000000004e-07,0.20721859392373515,8.107369754642257,10.347610756041558,0.7835016165358448,10.967317338454977,16.66213857574523,5.694821237290254,11.338921322994818,16.34989021125475,5.0109688882599315,0.14144165563568314,0.21488577323473276,0.07344411759904962,0.10974932447730243,0.1300103929867485,0.020261068509446062,0.010500142194885839,0.11991563041544924,0.1094154882205634,-0.010500142194885839,-0.11991563041544924,-0.1094154882205634,15.58893175627281,32.411755457917316,16.822823701644506,4.001148389792636e-09,9.2351791077378e-09,5.2340307179451645e-09
sample_0023,0.2629658707962856,0.4648959858257915,0.095703125,0.13091247094509895,low_to_nominal,51.79908573660821,2.0000000000000004e-07,0.029494652298582676,7.763336980638281,11.02298631415189,0.7042861851938708,16.94346661816186,16.61343267512625,-0.33003394303560896,16.83859377940917,16.279793721619875,-0.5588000577892949,0.0445555345355273,0.04368765790330039,-0.0008678766322269063,0.1682276596608464,0.16059933667661688,-0.007628322984229524,0.010448366996522906,0.03105514009940752,0.020606773102884612,0.010448366996522906,0.03105514009940752,0.020606773102884612,1.468702162760675,1.3728398902671985,-0.09586227249347634,3.970391315493132e-10,3.8172229061516116e-10,-1.5316840934152065e-11
sample_0027,0.5366140210141005,0.7282132765770551,0.029296875,0.02931186123869092,nominal_to_hard,290.03830779957553,2.0000000000000004e-07,0.018642549127675337,9.593686691526857,13.37845477000822,0.7170997590120762,18.214408424309287,20.688216753395274,2.473808329085987,20.357853385391937,21.356197173597995,0.9983437882060571,0.09774106944961712,0.11101587179650717,0.013274802346890047,0.1302104864679986,0.10538673251785012,-0.024823753950148478,0.14632560588510243,0.20293351534255175,0.05660790945744931,-0.14632560588510243,-0.20293351534255175,-0.05660790945744931,12.020411276224408,13.228274743352936,1.2078634671285275,1.910663331430976e-09,2.4649047581477037e-09,5.542414267167277e-10
sample_0037,0.22343163865336263,0.8964694359693468,0.048828125,0.06878508785006869,low_to_nominal,41.84965916775464,2.0000000000000004e-07,0.11703796742247691,9.193351505827016,11.92204718394855,0.7711218856946516,19.268520728437093,18.710520158740692,-0.5580005696964001,19.17721231673097,18.43379150929686,-0.7434208074341093,0.043051971607809845,0.041805221791242075,-0.0012467498165677701,0.19351773858845886,0.16569705055687767,-0.027820688031581192,0.024413011842302598,0.07162914266530174,0.047216130822999136,-0.024413011842302598,0.07162914266530174,0.09604215450760434,1.539085966695326,1.4220709598345755,-0.1170150068607505,3.7069445186393303e-10,3.4953531380298836e-10,-2.1159138060944665e-11
sample_0053,0.4663458019698718,1.2023210060093878,0.03125,0.016987060677941188,nominal_to_hard,190.7651280653868,2.0000000000000004e-07,0.13809516408632172,7.3651103551137975,11.436693024767354,0.6439895115803039,21.861721756241923,24.966838439159773,3.105116682917849,21.191370908954994,24.319531173172006,3.128160264217012,0.10195122164856833,0.11643180294562186,0.014480581297053527,0.20111814562501704,0.14673638586305282,-0.054381759761964216,0.06563093454035517,0.17522793415477417,0.109596999614419,0.06563093454035517,0.17522793415477417,0.109596999614419,8.566769746479869,11.282605036599824,2.715835290119955,2.078810319127102e-09,2.7112729474336246e-09,6.324626283065227e-10
sample_0059,0.6962427182377497,0.8617255690152267,0.330078125,0.1566749154602221,low,403.6221165488994,2.0000000000000004e-07,0.11061102539978358,8.90407071844699,13.505912829526855,0.6592720411300715,7.853657605389213,7.546967734641676,-0.30668987074753673,8.590747463599572,7.83386576502223,-0.7568816985773417,0.05468051919284762,0.052545213300195126,-0.0021353058926524907,0.06112249758932056,0.07462066199065646,0.013498164401335902,0.04639018421531344,0.008803719560634565,-0.03758646465467888,0.04639018421531344,0.008803719560634565,-0.03758646465467888,2.9787692406619213,2.4770068440427044,-0.5017623966192168,5.979918358398755e-10,5.521998881526006e-10,-4.5791947687274874e-11
sample_0061,0.08382224791294639,0.317940960587773,0.0546875,0.04472198983289229,nominal_to_hard,5.432192680931734,2.0000000000000004e-07,0.016909178109486524,8.870557704383623,11.92148630111395,0.7440815247638001,23.598114479250494,14.021686758196648,-9.576427721053847,23.65773155974104,14.645227695771004,-9.012503863970037,0.019780470021578248,0.011753293036032368,-0.00802717698554588,0.13037134539161532,0.12177667720522192,-0.0085946681863934,0.1725943530099914,0.06061192201813585,-0.11198243099185555,0.1725943530099914,0.06061192201813585,-0.11198243099185555,0.30403344834425405,0.11651113219510038,-0.18752231614915366,7.825339885491117e-11,2.7627979438169396e-11,-5.062541941674177e-11
sample_0075,0.1759556525077124,0.8805630931734794,0.095703125,0.022238888292977488,nominal_to_hard,28.152606406487777,2.0000000000000004e-07,0.15007760163133016,10.153665984098174,13.649155139365678,0.7439043574802571,14.63715056739106,19.50942994856277,4.872279381171708,13.967594789775742,19.748537674123742,5.780942884348001,0.025754893789389267,0.03432794476652867,0.008573050977139406,0.14451049408820002,0.112110871614785,-0.03239962247341502,0.014948282865465803,0.1428045152781479,0.12785623241268207,0.014948282865465803,0.1428045152781479,0.12785623241268207,0.549239626704646,1.097964994938121,0.548725368233475,1.326629108205444e-10,2.3568155837876873e-10,1.0301864755822433e-10
sample_0077,0.5243418484033366,1.8535252654421974,0.0947265625,0.027687064537294966,nominal_to_hard,242.5605229172584,2.0000000000000004e-07,0.025195044860506846,6.879867259386489,10.73231615627291,0.6410421719980071,13.807687327405052,15.83483107615773,2.027143748752678,14.120341176371157,16.25360975706031,2.133268580689153,0.07239948295426893,0.08302864595627141,0.010629163002002479,0.13674105471489328,0.13288547918147248,-0.0038555755334208075,0.011899147242276288,0.07486279192384288,0.0629636446815666,0.011899147242276288,0.07486279192384288,0.0629636446815666,4.8362695775701425,6.407959774169108,1.5716901965989658,1.0483370264090958e-09,1.3787512098663733e-09,3.304141834572776e-10
sample_0084,0.1663770492536331,1.7108204773726943,0.048828125,0.005993259095147739,nominal_to_hard,24.385466756225213,2.0000000000000004e-07,0.14461452760680557,10.494826888122992,13.490938286542411,0.777916751616296,8.97871205030884,8.874080406939477,-0.10463164336936259,9.259393756946897,9.069454888087055,-0.18993886885984246,0.014938516170284232,0.014764433129460701,-0.00017408304082353054,0.08145230635385026,0.08675731274971313,0.005305006395862871,0.04211610612881324,0.023060465183066082,-0.019055640945747156,-0.04211610612881324,-0.023060465183066082,0.019055640945747156,0.2090721467401481,0.20058268598553114,-0.008489460754616956,4.463185307396871e-11,4.359769712686335e-11,-1.0341559471053576e-12
