feature,kind,bin,lower,upper,sample_count,v13_sample_first_cv_relative_rmse_pct,v32_sample_first_cv_relative_rmse_pct,v32_minus_v13_sample_first_pct_points,sample_first_win_rate,sample_first_median_difference_pct_points,sample_first_bootstrap_ci_low,sample_first_bootstrap_ci_high,v32_minus_v13_point_sse_K2,point_global_bootstrap_ci_low,point_global_bootstrap_ci_high
true_cv_rms_deltaT_K,quartile,Q1,0.009529631065595099,0.16762127720883224,32,19.69205939331658,19.967812892007746,0.2757534986911689,0.65625,-1.3590106322389186,-2.0966925521526365,3.3189197630123983,0.2576109649636177,-1.8581911835223717,2.845414824052747
true_cv_rms_deltaT_K,quartile,Q2,0.16762127720883224,0.35687152139829703,32,22.144721238886437,25.82039211697669,3.6756708780902554,0.4375,0.6794384834057823,0.18987349346562515,8.286397885396433,77.32468861537765,0.8162536461122765,17.846927402564276
true_cv_rms_deltaT_K,quartile,Q3,0.35687152139829703,0.7066787784032991,32,18.993858344345746,19.084357549363304,0.09049920501755548,0.53125,-0.12025840647148556,-1.5089195366414392,1.6445118742798317,-7.4141116240110865,-2.0830889206094367,1.760689690918769
true_cv_rms_deltaT_K,quartile,Q4,0.7066787784032991,2.0236222692071117,32,20.435197980987304,19.26665369023479,-1.1685442907525183,0.5625,-0.8609319767098702,-2.7566724644551943,0.33199713948265436,-392.7352349036611,-4.288704339602164,0.3539365401471355
total_power_W,quartile,Q1,0.08353949202471203,0.555266265096884,32,20.87257218169719,22.4092069618354,1.5366347801382116,0.5625,-0.4147151859626952,-1.6397621279245147,6.108949293903271,16.473306505210253,-6.483716992299078,18.71520323499226
total_power_W,quartile,Q2,0.555266265096884,0.9004189302053293,32,19.363940499704,19.302785228793255,-0.06115527091074979,0.53125,-0.3720248366376442,-1.9133700214239617,1.8893765830371752,-73.87594097120584,-3.9692460514829286,0.10446504197401042
total_power_W,quartile,Q3,0.9004189302053293,1.3898659739145771,32,21.807807086273932,21.669420191514664,-0.13838689475926502,0.6875,-1.0559679592033016,-2.6445132942483602,2.9284299470991266,-408.02304086250183,-7.1566618267745294,-0.67713790862869
total_power_W,quartile,Q4,1.3898659739145771,5.357220615790253,32,19.221517189860954,20.757803866439218,1.5362866765782641,0.40625,0.7984122382271064,-0.1646963986751938,3.4995278709682562,142.8586283811665,-0.08946643107065574,3.185096623060787
source_occupancy_fraction,quartile,Q1,0.005859375,0.0341796875,32,23.69845998921548,26.367771626609652,2.669311637394176,0.5625,-1.208551702298422,-1.2732202638691348,7.744149945277863,-56.19945635901327,-4.1960096037078305,3.532353498008804
source_occupancy_fraction,quartile,Q2,0.0341796875,0.04931640625,32,21.490269092676304,21.228581850560587,-0.26168724211571814,0.5625,-0.470967718432834,-2.2894614512028943,1.7758455030801403,-316.4465796255027,-8.043113851348046,-0.12618531341548725
source_occupancy_fraction,quartile,Q3,0.04931640625,0.134765625,32,20.317624010944872,20.99722262747006,0.679598616525186,0.5,0.18319203440962895,-1.2670621089327607,2.7840186273629373,-44.95320646293882,-2.2269614792147467,2.166863871455132
source_occupancy_fraction,quartile,Q4,0.134765625,0.3828125,32,15.759483864699419,15.545640143942233,-0.21384372075718255,0.5625,-0.3720248366376442,-1.3071147246241672,0.8363902061523166,95.03219550012389,-0.1755889013184278,3.6295115228119075
q_weighted_inverse_kz_mK_W,quartile,Q1,0.0015389963689589417,0.02300227212728414,32,22.07636659808065,23.969229198376595,1.8928626002959459,0.53125,-0.24428325526931527,-0.7525934949470635,5.156648866435307,12.023793545887328,-1.5480132349022815,3.625341752690166
q_weighted_inverse_kz_mK_W,quartile,Q2,0.02300227212728414,0.04922336054724774,32,20.056998209687805,19.679806339398095,-0.3771918702897101,0.5,-0.20355436138339034,-2.2804785024854777,1.6658093268599077,-245.75025660971866,-7.400230392263547,2.0395886769876315
q_weighted_inverse_kz_mK_W,quartile,Q3,0.04922336054724774,0.12040158636403114,32,19.856375706218017,22.40247580953241,2.546100103314396,0.59375,-0.5689076862622588,-0.4457483088186118,6.999670384812056,82.30180305253408,-1.4175145941931653,5.009144203303866
q_weighted_inverse_kz_mK_W,quartile,Q4,0.12040158636403114,0.7981004922230358,32,19.2760964435496,18.08770490127543,-1.1883915422741707,0.5625,-0.31836190689157284,-2.8603406141502337,0.38736593534682,-171.14238693603366,-3.9741662877835893,-0.31122273232862674
generator_condition_category,category,low,,,23,14.962663642030602,14.288927041990608,-0.6737366000399942,0.6086956521739131,-0.43735980252775164,-1.9017537675422478,0.4376762366831343,6.813924712392174,-0.7130051108860803,1.562348288283768
generator_condition_category,category,low_to_nominal,,,24,20.961229734762156,19.07903784120501,-1.8821918935571456,0.7916666666666666,-1.2135458049963717,-3.7504398360722995,-0.054253823425805994,-384.64301232515373,-9.591165010584106,-1.648185702460512
generator_condition_category,category,nominal_to_hard,,,81,21.645629694322945,23.52978629382638,1.8841565995034335,0.4567901234567901,0.17417222622927753,0.008337931186177257,4.109557736945655,55.262040665430646,-1.3319424752523532,2.0932468522107945
