config_id,candidate,baseline_config_id,scale_head_mode,execution_smoke_config,execution_smoke_host,execution_smoke_output_dir,execution_smoke_status,calibration_config,calibration_host,calibration_output_dir,calibration_status,initial_loss_weights,frozen_loss_weights,loss_freeze_json,preflight_json,preflight_md,final_e600_yaml,e600_status,selection_metric,formal_performance_result,launch_policy
V4P5_05_native_physics_only,N0,V4P5_04_local_bypass_global_film,physics_only,configs/heat3d_v5/preflight/V5G5_N0_execution_smoke_e1.yaml,devbox,output/heat3d_v5_gate5_preflight/N0_smoke_e1_r4,passed,configs/heat3d_v5/preflight/V5G5_N0_calibration_e10.yaml,devbox,output/heat3d_v5_gate5_preflight/N0_calibration_e10,passed,1|1|1|1,1|1|1|1,configs/heat3d_v5/v5_gate5_loss_freeze.json,configs/heat3d_v5/v5_gate5_e600_preflight.json,docs/v5_gate5_e600_preflight.md,configs/heat3d_v5/generated/V4P5_05_native_physics_only.yaml,not_started,valid_base_mse,false,explicit_user_instruction_only
V4P5_06_native_pooled_latent,N1,V4P5_04_local_bypass_global_film,physics_plus_pooled_latent,configs/heat3d_v5/preflight/V5G5_N1_execution_smoke_e1.yaml,devbox,output/heat3d_v5_gate5_preflight/N1_smoke_e1,passed,configs/heat3d_v5/preflight/V5G5_N1_calibration_e10.yaml,wsl2,output/heat3d_v5_gate5_preflight/N1_calibration_e10,passed,1|1|1|1,1|1|1|1,configs/heat3d_v5/v5_gate5_loss_freeze.json,configs/heat3d_v5/v5_gate5_e600_preflight.json,docs/v5_gate5_e600_preflight.md,configs/heat3d_v5/generated/V4P5_06_native_pooled_latent.yaml,not_started,valid_base_mse,false,explicit_user_instruction_only
