config_id,phase,variant,status,baseline_config_id,yaml_path,init_checkpoint,checkpoint_sha256,source_checkpoint_epoch,optimizer_state,trainable_parameters,lr,lr_ratio_to_n3,epochs,batch_size,batch_order_seed,graph_seed,loss_weights,fit_roles,selection_roles,forbidden_evaluation_roles,checkpoint_outputs,output_dir,log_path,diagnostic_path,loss_freeze_path,launch_policy,notes,result_host,result_training_commit,result_best_base_epoch,result_best_point_global_epoch,result_initial_train_point_global_relative_rmse_pct,result_final_train_point_global_relative_rmse_pct,result_initial_valid_point_global_relative_rmse_pct,result_final_valid_point_global_relative_rmse_pct,result_initial_valid_base_mse,result_final_valid_base_mse,result_conclusion,result_output_preserved
V4P5_08_gate6b_ft_l0_unit,v5_gate6b,FT-L0,closed_not_run,V4P5_07_native_pooled_latent_global_film,configs/heat3d_v5/generated/V4P5_08_gate6b_ft_l0_unit.yaml,output/heat3d_v5_gate6_inputs/N3_best_e402/params_best.pkl,3baebb9b751bf6054f36308444cdefe7a7b4f343665164b0aabdfe2610b5a228,402,reset,all,7.5e-5,0.15,100,28,0,0,1|1|1|1,train,valid_iid,test_iid|hard_train_holdout|hard_challenge_valid|hard_challenge_test,valid_point_global_best|valid_base_mse_best|final,output/heat3d_v5_gate6b_runs/V4P5_08_gate6b_ft_l0_unit,output/heat3d_v5_gate6b_logs/V4P5_08_gate6b_ft_l0_unit.log,configs/heat3d_v5/gate6a/V4P5_07_N3_best_e402_diagnostic.json,configs/heat3d_v5/v5_gate6_loss_freeze.json,explicit_user_instruction_only,continued-training control closed without execution,,,,,,,,,,,route_closed_without_execution,true
V4P5_09_gate6b_ft_l1_tail_balanced,v5_gate6b,FT-L1,completed_negative_result,V4P5_07_native_pooled_latent_global_film,configs/heat3d_v5/generated/V4P5_09_gate6b_ft_l1_tail_balanced.yaml,output/heat3d_v5_gate6_inputs/N3_best_e402/params_best.pkl,3baebb9b751bf6054f36308444cdefe7a7b4f343665164b0aabdfe2610b5a228,402,reset,all,7.5e-5,0.15,100,28,0,0,1|1|0.5|1.5,train,valid_iid,test_iid|hard_train_holdout|hard_challenge_valid|hard_challenge_test,valid_point_global_best|valid_base_mse_best|final,output/heat3d_v5_gate6b_runs/V4P5_09_gate6b_ft_l1_tail_balanced,output/heat3d_v5_gate6b_logs/V4P5_09_gate6b_ft_l1_tail_balanced.log,configs/heat3d_v5/gate6a/V4P5_07_N3_best_e402_diagnostic.json,configs/heat3d_v5/v5_gate6_loss_freeze.json,explicit_user_instruction_only,primary diagnostic candidate; post-hoc warm-start negative result,devbox,ccc6e03,0,0,4.3067336377334255,3.223408379612283,24.075326436821236,24.356520028192318,0.037726037204265594,0.03861043602228165,post_hoc_loss_reweighting_failed_does_not_reject_scratch_training,true
V4P5_10_gate6b_ft_l2_shape_balanced,v5_gate6b,FT-L2,completed_negative_result,V4P5_07_native_pooled_latent_global_film,configs/heat3d_v5/generated/V4P5_10_gate6b_ft_l2_shape_balanced.yaml,output/heat3d_v5_gate6_inputs/N3_best_e402/params_best.pkl,3baebb9b751bf6054f36308444cdefe7a7b4f343665164b0aabdfe2610b5a228,402,reset,all,7.5e-5,0.15,100,28,0,0,1.5|0.5|0.5|1.5,train,valid_iid,test_iid|hard_train_holdout|hard_challenge_valid|hard_challenge_test,valid_point_global_best|valid_base_mse_best|final,output/heat3d_v5_gate6b_runs/V4P5_10_gate6b_ft_l2_shape_balanced,output/heat3d_v5_gate6b_logs/V4P5_10_gate6b_ft_l2_shape_balanced.log,configs/heat3d_v5/gate6a/V4P5_07_N3_best_e402_diagnostic.json,configs/heat3d_v5/v5_gate6_loss_freeze.json,explicit_user_instruction_only,evidence-selected shape-gradient-balanced candidate; post-hoc warm-start negative result,wsl2,ccc6e03,0,0,4.3067336377334255,3.224739520634915,24.075882784320896,24.35306188399991,0.03772555664181709,0.03860006108880043,post_hoc_loss_reweighting_failed_does_not_reject_scratch_training,true
